trip_id,0521,0529,0536,0539,0801,0806,0811,0816,0821,0826,0901,0906,2241G,2242F,2246F,2351F,2397F,2720F,2726F,2793F,2794F,3308F,3360F,3480,5200F,5205,5261,5264F,5265F,5266F,5267,5311,5312,5352,5407F,5413F,5414F,5415F,5416F,5451F,5459F,5460F,5461F,5462F,5468,5714,5762,6201F,6202,6204,6258,6260F,6419F
113480413238202001,,,,,,22:08:00,,22:09:38,,22:11:05,,22:07:03,22:13:00,,,,,,,22:18:00,,22:17:00,,21:59:00,,,22:01:45,22:00:00,22:03:11,,22:04:20,,,22:06:00,,,,,,21:51:00,21:51:41,21:53:00,21:54:11,21:55:00,21:56:09,,,,,,22:14:39,,
113480414238202001,,,,,22:28:00,,22:26:12,,22:24:37,,22:29:02,,,22:22:00,22:23:00,,22:39:00,,,22:17:00,,,22:19:00,,22:37:00,22:34:46,,,,22:33:09,,22:31:52,22:30:00,,22:40:00,22:41:24,22:43:00,22:44:17,22:45:00,,,,,,,,,,,22:20:39,,,
113480415238202001,,,,,21:26:00,,21:24:12,,21:22:37,,21:27:02,,,21:20:00,21:21:00,,21:37:00,,,21:15:00,,,21:17:00,,21:35:00,21:32:46,,,,21:31:09,,21:29:52,21:28:00,,21:38:00,21:39:24,21:41:00,21:42:17,21:43:00,,,,,,,,,,,21:18:39,,,
113480416238202001,,,,,,,,,,,,,,,,24:53:00,,,,,,,,,,,,,,,,,,,,,,,,24:45:00,24:45:41,24:47:00,24:48:11,24:49:00,24:50:11,,,,,,,,
113480417238202001,,,23:58:00,23:57:00,,,,,,,,,,,,,,24:02:00,,,24:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,24:01:00,24:03:57,24:05:00,,,,
113480418238202001,21:22:00,,,21:24:00,,,,,,,,,,,,,,,21:18:00,,21:13:00,,,,,,,,,,,,,,,,,,,,,,,,,21:20:00,,,,,,21:16:03,21:15:00
113480419238202001,,,21:27:00,21:26:00,,,,,,,,,,,,,,21:31:00,,,21:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,21:30:00,21:32:57,21:34:00,,,,
113480420238202001,,,,,21:11:00,,21:09:12,,21:07:37,,21:12:02,,,21:05:00,21:06:00,,21:22:00,,,21:00:00,,,21:02:00,,21:20:00,21:17:46,,,,21:16:09,,21:14:52,21:13:00,,21:23:00,21:24:24,21:26:00,21:27:17,21:28:00,,,,,,,,,,,21:03:39,,,
113480421238202001,,,,,,21:27:00,,21:28:38,,21:30:05,,21:26:03,21:32:00,,,,,,,21:37:00,,21:36:00,,21:18:00,,,21:20:45,21:19:00,21:22:11,,21:23:20,,,21:25:00,,,,,,21:10:00,21:10:41,21:12:00,21:13:11,21:14:00,21:15:09,,,,,,21:33:39,,
113480422238202001,,,22:13:00,22:12:00,,,,,,,,,,,,,,22:17:00,,,22:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,22:16:00,22:18:57,22:20:00,,,,
113480423238202001,,,,,,21:53:00,,21:54:38,,21:56:05,,21:52:03,21:58:00,,,,,,,22:03:00,,22:02:00,,21:44:00,,,21:46:45,21:45:00,21:48:11,,21:49:20,,,21:51:00,,,,,,21:36:00,21:36:41,21:38:00,21:39:11,21:40:00,21:41:09,,,,,,21:59:39,,
113480424238202001,,,,,21:58:00,,21:56:12,,21:54:37,,21:59:02,,,21:52:00,21:53:00,,22:09:00,,,21:47:00,,,21:49:00,,22:07:00,22:04:46,,,,22:03:09,,22:01:52,22:00:00,,22:10:00,22:11:24,22:13:00,22:14:17,22:15:00,,,,,,,,,,,21:50:39,,,
113480425238202001,,,,,22:13:00,,22:11:12,,22:09:37,,22:14:02,,,22:07:00,22:08:00,,22:24:00,,,22:02:00,,,22:04:00,,22:22:00,22:19:46,,,,22:18:09,,22:16:52,22:15:00,,22:25:00,22:26:24,22:28:00,22:29:17,22:30:00,,,,,,,,,,,22:05:39,,,
113480426238202001,,,,,23:13:00,,23:11:12,,23:09:37,,23:14:02,,,23:07:00,23:08:00,,23:24:00,,,23:02:00,,,23:04:00,,23:22:00,23:19:46,,,,23:18:09,,23:16:52,23:15:00,,23:25:00,23:26:24,23:28:00,23:29:17,23:30:00,,,,,,,,,,,23:05:39,,,
113480427238202001,,,,,22:43:00,,22:41:12,,22:39:37,,22:44:02,,,22:37:00,22:38:00,,22:54:00,,,22:32:00,,,22:34:00,,22:52:00,22:49:46,,,,22:48:09,,22:46:52,22:45:00,,22:55:00,22:56:24,22:58:00,22:59:17,23:00:00,,,,,,,,,,,22:35:39,,,
113480428238202001,,,,,22:58:00,,22:56:12,,22:54:37,,22:59:02,,,22:52:00,22:53:00,,23:09:00,,,22:47:00,,,22:49:00,,23:07:00,23:04:46,,,,23:03:09,,23:01:52,23:00:00,,23:10:00,23:11:24,23:13:00,23:14:17,23:15:00,,,,,,,,,,,22:50:39,,,
113480429238202001,,,,,,22:23:00,,22:24:38,,22:26:05,,22:22:03,22:28:00,,,,,,,22:33:00,,22:32:00,,22:14:00,,,22:16:45,22:15:00,22:18:11,,22:19:20,,,22:21:00,,,,,,22:06:00,22:06:41,22:08:00,22:09:11,22:10:00,22:11:09,,,,,,22:29:39,,
113480430238202001,,,,,,24:33:00,,24:34:38,,24:36:05,,24:32:03,24:38:00,,,,,,,24:43:00,,24:42:00,,24:24:00,,,24:26:45,24:25:00,24:28:11,,24:29:20,,,24:31:00,,,,,,24:16:00,24:16:41,24:18:00,24:19:11,24:20:00,24:21:09,,,,,,24:39:39,,
