trip_id,1382,1585,1586,1587,1639,1640B,2913,7831,7832
113643634238752500,24:26:00,,,,24:21:52,24:23:17,24:21:00,,24:18:00
113643635238752500,24:31:00,,,,24:26:52,24:28:17,24:26:00,,24:23:00
113643636238752500,08:31:00,08:34:12,08:36:10,08:37:00,,,,08:41:00,
113643637238752500,08:36:00,08:39:12,08:41:10,08:42:00,,,,08:46:00,
113643638238752500,08:41:00,08:44:12,08:46:10,08:47:00,,,,08:51:00,
113643639238752500,08:46:00,08:49:12,08:51:10,08:52:00,,,,08:56:00,
113643640238752500,08:51:00,08:54:12,08:56:10,08:57:00,,,,09:01:00,
113643641238752500,08:56:00,08:59:12,09:01:10,09:02:00,,,,09:06:00,
113643642238752500,09:01:00,09:04:12,09:06:10,09:07:00,,,,09:11:00,
113643643238752500,09:06:00,09:09:12,09:11:10,09:12:00,,,,09:16:00,
113643644238752500,09:11:00,09:14:12,09:16:10,09:17:00,,,,09:21:00,
113643645238752500,09:16:00,09:19:12,09:21:10,09:22:00,,,,09:26:00,
113643646238752500,09:21:00,09:24:12,09:26:10,09:27:00,,,,09:31:00,
113643647238752500,09:26:00,09:29:12,09:31:10,09:32:00,,,,09:36:00,
113643648238752500,09:31:00,09:34:12,09:36:10,09:37:00,,,,09:41:00,
113643649238752500,09:36:00,09:39:12,09:41:10,09:42:00,,,,09:46:00,
113643650238752500,09:41:00,09:44:12,09:46:10,09:47:00,,,,09:51:00,
113643651238752500,09:46:00,09:49:12,09:51:10,09:52:00,,,,09:56:00,
113643652238752500,09:51:00,09:54:12,09:56:10,09:57:00,,,,10:01:00,
113643653238752500,09:56:00,09:59:12,10:01:10,10:02:00,,,,10:06:00,
113643654238752500,10:01:00,10:04:12,10:06:10,10:07:00,,,,10:11:00,
113643655238752500,10:06:00,10:09:12,10:11:10,10:12:00,,,,10:16:00,
113643656238752500,10:11:00,10:14:12,10:16:10,10:17:00,,,,10:21:00,
113643657238752500,10:16:00,10:19:12,10:21:10,10:22:00,,,,10:26:00,
113643658238752500,10:21:00,10:24:12,10:26:10,10:27:00,,,,10:31:00,
113643659238752500,10:26:00,10:29:12,10:31:10,10:32:00,,,,10:36:00,
113643660238752500,10:31:00,10:34:12,10:36:10,10:37:00,,,,10:41:00,
113643661238752500,10:36:00,10:39:12,10:41:10,10:42:00,,,,10:46:00,
113643662238752500,10:41:00,10:44:12,10:46:10,10:47:00,,,,10:51:00,
113643663238752500,10:46:00,10:49:12,10:51:10,10:52:00,,,,10:56:00,
113643664238752500,10:51:00,10:54:12,10:56:10,10:57:00,,,,11:01:00,
113643665238752500,10:56:00,10:59:12,11:01:10,11:02:00,,,,11:06:00,
113643666238752500,11:01:00,11:04:44,11:07:01,11:08:00,,,,11:12:00,
113643667238752500,11:06:00,11:09:44,11:12:01,11:13:00,,,,11:17:00,
113643668238752500,11:11:00,11:14:44,11:17:01,11:18:00,,,,11:22:00,
113643669238752500,11:16:00,11:19:44,11:22:01,11:23:00,,,,11:27:00,
113643670238752500,11:21:00,11:24:44,11:27:01,11:28:00,,,,11:32:00,
113643671238752500,11:26:00,11:29:44,11:32:01,11:33:00,,,,11:37:00,
113643672238752500,11:31:00,11:34:44,11:37:01,11:38:00,,,,11:42:00,
113643673238752500,11:36:00,11:39:44,11:42:01,11:43:00,,,,11:47:00,
113643674238752500,11:41:00,11:44:44,11:47:01,11:48:00,,,,11:52:00,
113643675238752500,11:46:00,11:49:44,11:52:01,11:53:00,,,,11:57:00,
113643676238752500,11:51:00,11:54:44,11:57:01,11:58:00,,,,12:02:00,
113643677238752500,11:56:00,11:59:44,12:02:01,12:03:00,,,,12:07:00,
113643678238752500,12:01:00,12:04:44,12:07:01,12:08:00,,,,12:12:00,
113643679238752500,12:06:00,12:09:44,12:12:01,12:13:00,,,,12:17:00,
113643680238752500,12:11:00,12:14:44,12:17:01,12:18:00,,,,12:22:00,
113643681238752500,12:16:00,12:19:44,12:22:01,12:23:00,,,,12:27:00,
113643682238752500,12:21:00,12:24:44,12:27:01,12:28:00,,,,12:32:00,
113643683238752500,12:26:00,12:29:44,12:32:01,12:33:00,,,,12:37:00,
113643684238752500,12:31:00,12:34:44,12:37:01,12:38:00,,,,12:42:00,
113643685238752500,12:36:00,12:39:44,12:42:01,12:43:00,,,,12:47:00,
113643686238752500,12:41:00,12:44:44,12:47:01,12:48:00,,,,12:52:00,
113643687238752500,12:46:00,12:49:44,12:52:01,12:53:00,,,,12:57:00,
113643688238752500,12:51:00,12:54:44,12:57:01,12:58:00,,,,13:02:00,
113643689238752500,12:56:00,12:59:44,13:02:01,13:03:00,,,,13:07:00,
113643690238752500,13:01:00,13:04:44,13:07:01,13:08:00,,,,13:12:00,
113643691238752500,13:06:00,13:09:44,13:12:01,13:13:00,,,,13:17:00,
113643692238752500,13:11:00,13:14:44,13:17:01,13:18:00,,,,13:22:00,
113643693238752500,13:16:00,13:19:44,13:22:01,13:23:00,,,,13:27:00,
113643694238752500,13:21:00,13:24:44,13:27:01,13:28:00,,,,13:32:00,
113643695238752500,13:26:00,13:29:44,13:32:01,13:33:00,,,,13:37:00,
113643696238752500,13:31:00,13:34:44,13:37:01,13:38:00,,,,13:42:00,
113643697238752500,13:36:00,13:39:44,13:42:01,13:43:00,,,,13:47:00,
113643698238752500,13:41:00,13:44:44,13:47:01,13:48:00,,,,13:52:00,
113643699238752500,13:46:00,13:49:44,13:52:01,13:53:00,,,,13:57:00,
113643700238752500,13:51:00,13:54:44,13:57:01,13:58:00,,,,14:02:00,
113643701238752500,13:56:00,13:59:44,14:02:01,14:03:00,,,,14:07:00,
113643702238752500,14:01:00,14:04:44,14:07:01,14:08:00,,,,14:12:00,
113643703238752500,14:06:00,14:09:44,14:12:01,14:13:00,,,,14:17:00,
113643704238752500,14:11:00,14:14:44,14:17:01,14:18:00,,,,14:22:00,
113643705238752500,14:16:00,14:19:44,14:22:01,14:23:00,,,,14:27:00,
113643706238752500,14:21:00,14:24:44,14:27:01,14:28:00,,,,14:32:00,
113643707238752500,14:26:00,14:29:44,14:32:01,14:33:00,,,,14:37:00,
113643708238752500,14:31:00,14:34:44,14:37:01,14:38:00,,,,14:42:00,
113643709238752500,14:36:00,14:39:44,14:42:01,14:43:00,,,,14:47:00,
113643710238752500,14:41:00,14:44:44,14:47:01,14:48:00,,,,14:52:00,
113643711238752500,14:46:00,14:49:44,14:52:01,14:53:00,,,,14:57:00,
113643712238752500,14:51:00,14:54:44,14:57:01,14:58:00,,,,15:02:00,
113643713238752500,14:56:00,14:59:44,15:02:01,15:03:00,,,,15:07:00,
113643714238752500,15:01:00,15:04:44,15:07:01,15:08:00,,,,15:12:00,
113643715238752500,15:06:00,15:09:44,15:12:01,15:13:00,,,,15:17:00,
113643716238752500,15:11:00,15:14:44,15:17:01,15:18:00,,,,15:22:00,
113643717238752500,15:16:00,15:19:44,15:22:01,15:23:00,,,,15:27:00,
113643718238752500,15:21:00,15:24:44,15:27:01,15:28:00,,,,15:32:00,
113643719238752500,15:26:00,15:29:44,15:32:01,15:33:00,,,,15:37:00,
113643720238752500,15:31:00,15:34:44,15:37:01,15:38:00,,,,15:42:00,
113643721238752500,15:36:00,15:39:44,15:42:01,15:43:00,,,,15:47:00,
113643722238752500,15:41:00,15:44:44,15:47:01,15:48:00,,,,15:52:00,
113643723238752500,15:46:00,15:49:44,15:52:01,15:53:00,,,,15:57:00,
113643724238752500,15:51:00,15:54:44,15:57:01,15:58:00,,,,16:02:00,
113643725238752500,15:56:00,15:59:44,16:02:01,16:03:00,,,,16:07:00,
113643726238752500,16:01:00,16:04:44,16:07:01,16:08:00,,,,16:12:00,
113643727238752500,16:06:00,16:09:44,16:12:01,16:13:00,,,,16:17:00,
113643728238752500,16:11:00,16:14:44,16:17:01,16:18:00,,,,16:22:00,
113643729238752500,16:16:00,16:19:44,16:22:01,16:23:00,,,,16:27:00,
113643730238752500,16:21:00,16:24:44,16:27:01,16:28:00,,,,16:32:00,
113643731238752500,16:26:00,16:29:44,16:32:01,16:33:00,,,,16:37:00,
113643732238752500,16:31:00,16:34:44,16:37:01,16:38:00,,,,16:42:00,
113643733238752500,16:36:00,16:39:44,16:42:01,16:43:00,,,,16:47:00,
113643734238752500,16:41:00,16:44:44,16:47:01,16:48:00,,,,16:52:00,
113643735238752500,16:46:00,16:49:44,16:52:01,16:53:00,,,,16:57:00,
113643736238752500,16:51:00,16:54:44,16:57:01,16:58:00,,,,17:02:00,
113643737238752500,16:56:00,16:59:44,17:02:01,17:03:00,,,,17:07:00,
113643738238752500,17:01:00,17:04:44,17:07:01,17:08:00,,,,17:12:00,
113643739238752500,17:06:00,17:09:44,17:12:01,17:13:00,,,,17:17:00,
113643740238752500,17:11:00,17:14:44,17:17:01,17:18:00,,,,17:22:00,
113643741238752500,17:16:00,17:19:44,17:22:01,17:23:00,,,,17:27:00,
113643742238752500,17:21:00,17:24:44,17:27:01,17:28:00,,,,17:32:00,
113643743238752500,17:26:00,17:29:44,17:32:01,17:33:00,,,,17:37:00,
113643744238752500,17:31:00,17:34:44,17:37:01,17:38:00,,,,17:42:00,
113643745238752500,17:36:00,17:39:44,17:42:01,17:43:00,,,,17:47:00,
113643746238752500,17:41:00,17:44:44,17:47:01,17:48:00,,,,17:52:00,
113643747238752500,17:46:00,17:49:44,17:52:01,17:53:00,,,,17:57:00,
113643748238752500,17:51:00,17:54:44,17:57:01,17:58:00,,,,18:02:00,
113643749238752500,17:56:00,17:59:44,18:02:01,18:03:00,,,,18:07:00,
113643750238752500,18:01:00,18:04:44,18:07:01,18:08:00,,,,18:12:00,
113643751238752500,18:06:00,18:09:44,18:12:01,18:13:00,,,,18:17:00,
113643752238752500,18:11:00,18:14:44,18:17:01,18:18:00,,,,18:22:00,
113643753238752500,18:16:00,18:19:44,18:22:01,18:23:00,,,,18:27:00,
