trip_id,1951,1984B,1985B,2382,2384,2610,2660,3810,3814,3815,3851,5058,5916,5917,5920C,5921B,5922,5923,5952,5953,5963,5964,9649B,9686B
113349595237570001,,,22:27:00,,22:12:00,,22:22:21,22:16:48,22:17:31,,,22:30:00,22:24:33,22:25:25,,22:24:00,,22:23:21,,,22:18:55,,22:20:58,
113349598237570001,15:46:00,15:48:00,,16:07:00,,15:54:49,,,,16:01:11,16:01:54,,,,15:53:00,,15:54:18,,15:50:43,15:52:07,,15:59:24,,15:56:48
113349600237570001,17:00:00,17:02:00,,17:24:00,,17:09:12,,,,17:16:56,17:17:48,,,,17:07:00,,17:08:34,,17:04:43,17:06:07,,17:14:47,,17:11:37
113349601237570001,19:40:00,19:42:00,,19:59:00,,19:47:41,,,,19:53:36,19:54:16,,,,19:46:00,,19:47:12,,19:44:11,19:45:18,,19:51:57,,19:49:31
113349602237570001,20:32:00,,20:29:00,,20:12:00,,20:23:13,20:17:12,20:17:58,,,20:31:28,20:25:44,20:26:53,,20:25:00,,20:24:17,,,20:19:30,,20:21:43,
113349603237570001,20:39:00,20:41:00,,20:56:00,,20:45:33,,,,20:51:01,20:51:37,,,,20:44:00,,20:45:07,,20:42:38,20:43:28,,20:49:30,,20:47:15
113349604237570001,21:30:00,,21:27:00,,21:12:00,,21:22:21,21:16:48,21:17:31,,,21:29:28,21:24:33,21:25:25,,21:24:00,,21:23:21,,,21:18:55,,21:20:58,
113349605237570001,21:40:00,21:42:00,,21:57:00,,21:46:33,,,,21:52:01,21:52:37,,,,21:45:00,,21:46:07,,21:43:38,21:44:28,,21:50:30,,21:48:15
113349607237570001,15:26:00,15:28:00,,15:47:00,,15:34:49,,,,15:41:11,15:41:54,,,,15:33:00,,15:34:18,,15:30:43,15:32:07,,15:39:24,,15:36:48
113349608237570001,09:31:00,09:33:00,,09:52:00,,09:38:57,,,,09:45:46,09:46:32,,,,09:37:00,,09:38:23,,09:35:11,09:36:18,,09:43:52,,09:41:04
113349611237570001,08:06:00,08:08:00,,08:35:00,,08:15:51,,,,08:25:51,08:26:59,,,,08:13:00,,08:15:02,,08:10:43,08:12:07,,08:23:04,,08:18:58
113349616237570001,08:58:00,,08:54:00,,08:31:00,,08:46:31,08:38:11,08:39:16,,,08:57:18,08:49:55,08:51:22,,08:49:00,,08:48:01,,,08:41:23,,08:44:27,
113349622237570001,15:01:00,,14:58:00,,14:38:00,,14:50:56,14:43:59,14:44:53,,,15:00:28,14:53:55,14:55:22,,14:53:00,,14:52:11,,,14:46:39,,14:49:12,
113349623237570001,17:49:00,,17:45:00,,17:25:00,,17:38:48,17:31:23,17:32:21,,,17:48:18,17:41:44,17:42:53,,17:41:00,,17:40:07,,,17:34:14,,17:36:57,
113349624237570001,16:41:00,16:43:00,,17:05:00,,16:50:12,,,,16:57:56,16:58:48,,,,16:48:00,,16:49:34,,16:45:43,16:47:07,,16:55:47,,16:52:37
113349625237570001,16:24:00,,16:21:00,,16:00:00,,16:13:48,16:06:23,16:07:21,,,16:23:28,16:16:55,16:18:22,,16:16:00,,16:15:07,,,16:09:14,,16:11:57,
113349626237570001,18:11:00,18:13:00,,18:32:00,,18:19:49,,,,18:26:11,18:26:54,,,,18:18:00,,18:19:18,,18:15:43,18:17:07,,18:24:24,,18:21:48
113349627237570001,,,19:03:00,,18:44:00,,18:56:56,18:49:59,18:50:53,,,19:06:00,18:59:44,19:00:53,,18:59:00,,18:58:11,,,18:52:39,,18:55:12,
113349631237570001,14:24:00,,14:21:00,,14:01:00,,14:13:56,14:06:59,14:07:53,,,14:23:28,14:16:55,14:18:22,,14:16:00,,14:15:11,,,14:09:39,,14:12:12,
113349635237570001,12:07:00,12:09:00,,12:28:00,,12:15:49,,,,12:22:11,12:22:54,,,,12:14:00,,12:15:18,,12:11:43,12:13:07,,12:20:24,,12:17:48
113349636237570001,11:42:00,,11:39:00,,11:20:00,,11:32:04,11:25:36,11:26:26,,,11:41:28,11:34:55,11:36:22,,11:34:00,,11:33:14,,,11:28:05,,11:30:28,
113349638237570001,10:47:00,10:49:00,,11:09:00,,10:55:57,,,,11:02:46,11:03:32,,,,10:54:00,,10:55:23,,10:51:43,10:53:07,,11:00:52,,10:58:04
113349639237570001,10:22:00,,10:19:00,,10:00:00,,10:12:04,10:05:36,10:06:26,,,10:21:28,10:14:55,10:16:22,,10:14:00,,10:13:14,,,10:08:05,,10:10:28,
113349640237570001,13:05:00,,13:02:00,,12:43:00,,12:55:04,12:48:36,12:49:26,,,13:04:28,12:57:55,12:59:22,,12:57:00,,12:56:14,,,12:51:05,,12:53:28,
113349642237570001,13:30:00,13:32:00,,13:51:00,,13:38:49,,,,13:45:11,13:45:54,,,,13:37:00,,13:38:18,,13:34:43,13:36:07,,13:43:24,,13:40:48
113349650237570001,14:49:00,14:51:00,,15:10:00,,14:57:49,,,,15:04:11,15:04:54,,,,14:56:00,,14:57:18,,14:53:43,14:55:07,,15:02:24,,14:59:48
