trip_id,1136,1156,1900,1901,1904,1988,2283,2287,2289,3313,6017,6018,6019,6020,6021,6022B,6023,6024,6053,6054B,6055,6056,6058,6059,6060,6061,6062,6190,6191,6435,6436,9023B,9291,9296,9996
113354296237585601,19:17:00,,18:56:00,18:59:25,18:58:11,,19:19:00,,19:20:00,,19:04:27,19:06:10,19:07:36,19:08:36,19:12:28,19:14:42,19:14:00,19:15:33,,,,,,,,,,,19:11:00,19:01:00,,19:02:43,19:10:17,,
113354297237585601,,05:59:00,06:18:00,,,06:14:34,,05:57:00,05:56:00,06:11:08,,,,,,,,,06:00:19,06:01:05,06:02:00,06:02:51,06:05:24,06:06:32,06:07:29,06:08:59,06:10:23,06:04:00,,,06:12:00,,,06:04:31,
113354298237585601,20:15:00,,19:54:00,19:57:25,19:56:11,,20:17:00,,20:18:00,,20:02:27,20:04:10,20:05:36,20:06:36,20:10:28,20:12:42,20:12:00,20:13:33,,,,,,,,,,,20:09:00,19:59:00,,20:00:43,20:08:17,,
113354299237585601,10:16:00,,09:56:00,09:58:44,09:57:44,,10:18:00,,10:19:00,,10:03:07,10:04:39,10:05:56,10:06:50,10:10:28,10:12:56,10:12:00,10:14:04,,,,,,,,,,,10:09:00,10:00:00,,10:01:33,10:08:21,,
113354300237585601,20:35:00,,20:14:00,20:17:25,20:16:11,,20:37:00,,20:38:00,,20:22:27,20:24:10,20:25:36,20:26:36,20:30:28,20:32:42,20:32:00,20:33:33,,,,,,,,,,,20:29:00,20:19:00,,20:20:43,20:28:17,,
113354301237585601,18:40:00,,18:17:00,18:20:25,18:19:11,,18:42:00,,18:43:00,,18:25:48,18:27:41,18:29:15,18:30:21,18:34:28,18:36:56,18:36:00,18:38:04,,,,,,,,,,,18:33:00,18:22:00,,18:23:53,18:32:12,,
113354302237585601,,10:48:00,11:09:00,,,11:05:34,,10:46:00,10:45:00,11:02:01,,,,,,,,,10:49:19,10:50:05,10:51:00,10:52:17,10:55:35,10:56:51,10:57:55,10:59:36,11:01:11,10:54:00,,,11:03:00,,,10:54:34,
113354303237585601,10:36:00,,10:16:00,10:18:44,10:17:44,,10:38:00,,10:39:00,,10:23:07,10:24:39,10:25:56,10:26:50,10:30:28,10:32:56,10:32:00,10:34:04,,,,,,,,,,,10:29:00,10:20:00,,10:21:33,10:28:21,,
113354304237585601,19:36:00,,19:15:00,19:18:25,19:17:11,,19:38:00,,19:39:00,,19:23:27,19:25:10,19:26:36,19:27:36,19:31:28,19:33:42,19:33:00,19:34:33,,,,,,,,,,,19:30:00,19:20:00,,19:21:43,19:29:17,,
113354305237585601,,07:28:00,07:48:00,,,07:44:34,,07:26:00,07:25:00,07:41:01,,,,,,,,,07:29:19,07:30:05,07:31:00,07:31:51,07:34:35,07:35:51,07:36:55,07:38:36,07:40:11,07:33:00,,,07:42:00,,,07:33:34,
