trip_id,1015,1085,2225,2226,2252,2414,2415,2416,2417,2452,2453,2523,2550,2551,2555,2556,2598,2599,2600,2601,2602,2605,2606,2607,2612,2614,2616B,2617,2618,2619,2620,2621,2622,2623,2624,2625,2631,2632,2732,2939B,2952B,3046,3074,3681,3682,3856,5152,5161,5719,5915
113163848236916001,,12:20:00,,,12:27:47,,,,12:09:00,12:10:15,12:11:38,,12:26:19,12:21:43,,12:22:55,,,,,,,,,,,12:14:00,12:29:00,12:29:42,12:30:21,12:31:03,12:32:08,12:32:44,12:33:48,12:34:30,12:36:00,,12:12:44,,12:15:07,,12:37:36,12:40:00,12:24:00,,,12:16:24,12:16:57,,
113163849236916001,,11:33:00,,,11:40:47,,,,11:22:00,11:23:15,11:24:38,,11:39:19,11:34:43,,11:35:55,,,,,,,,,,,11:27:00,11:42:00,11:42:42,11:43:21,11:44:03,11:45:08,11:45:44,11:46:48,11:47:30,11:49:00,,11:25:44,,11:28:07,,11:50:36,11:53:00,11:37:00,,,11:29:24,11:29:57,,
113163850236916001,,12:35:00,,,12:42:47,,,,12:24:00,12:25:15,12:26:38,,12:41:19,12:36:43,,12:37:55,,,,,,,,,,,12:29:00,12:44:00,12:44:42,12:45:21,12:46:03,12:47:08,12:47:44,12:48:48,12:49:30,12:51:00,,12:27:44,,12:30:07,,12:52:36,12:55:00,12:39:00,,,12:31:24,12:31:57,,
113163851236916001,,11:49:00,,,11:56:47,,,,11:38:00,11:39:15,11:40:38,,11:55:19,11:50:43,,11:51:55,,,,,,,,,,,11:43:00,11:58:00,11:58:42,11:59:21,12:00:03,12:01:08,12:01:44,12:02:48,12:03:30,12:05:00,,11:41:44,,11:44:07,,12:06:36,12:09:00,11:53:00,,,11:45:24,11:45:57,,
113163852236916001,,11:18:00,,,11:25:47,,,,11:07:00,11:08:15,11:09:38,,11:24:19,11:19:43,,11:20:55,,,,,,,,,,,11:12:00,11:27:00,11:27:42,11:28:21,11:29:03,11:30:08,11:30:44,11:31:48,11:32:30,11:34:00,,11:10:44,,11:13:07,,11:35:36,11:38:00,11:22:00,,,11:14:24,11:14:57,,
113163853236916001,,11:03:00,,,11:10:47,,,,10:52:00,10:53:15,10:54:38,,11:09:19,11:04:43,,11:05:55,,,,,,,,,,,10:57:00,11:12:00,11:12:42,11:13:21,11:14:03,11:15:08,11:15:44,11:16:48,11:17:30,11:19:00,,10:55:44,,10:58:07,,11:20:36,11:23:00,11:07:00,,,10:59:24,10:59:57,,
113163854236916001,,08:50:00,,,08:59:32,,,,08:38:00,08:39:30,08:41:09,,08:57:47,08:52:09,,08:53:39,,,,,,,,,,,08:44:00,09:01:00,09:01:48,09:02:32,09:03:21,09:04:35,09:05:16,09:06:29,09:07:17,09:09:00,,08:42:28,,08:45:07,,09:10:36,09:13:00,08:55:00,,,08:46:24,08:46:57,,
113163855236916001,,10:18:00,,,10:25:47,,,,10:07:00,10:08:15,10:09:38,,10:24:19,10:19:43,,10:20:55,,,,,,,,,,,10:12:00,10:27:00,10:27:42,10:28:21,10:29:03,10:30:08,10:30:44,10:31:48,10:32:30,10:34:00,,10:10:44,,10:13:07,,10:35:36,10:38:00,10:22:00,,,10:14:24,10:14:57,,
113163856236916001,,10:33:00,,,10:40:47,,,,10:22:00,10:23:15,10:24:38,,10:39:19,10:34:43,,10:35:55,,,,,,,,,,,10:27:00,10:42:00,10:42:42,10:43:21,10:44:03,10:45:08,10:45:44,10:46:48,10:47:30,10:49:00,,10:25:44,,10:28:07,,10:50:36,10:53:00,10:37:00,,,10:29:24,10:29:57,,
113163857236916001,,08:02:00,,,08:11:32,,,,07:51:00,07:52:15,07:53:38,,08:09:47,08:04:09,,08:05:39,,,,,,,,,,,07:56:00,08:13:00,08:13:48,08:14:32,08:15:21,08:16:35,08:17:16,08:18:29,08:19:17,08:21:00,,07:54:44,,07:57:07,,08:22:36,08:25:00,08:07:00,,,07:58:24,07:58:57,,
