trip_id,1016,1024,1051,1052,1082,1083,1089,1090,1349,1356,1827,1837,1838,1839,2305,2308,2315,2316,2317,2325,2326,2327,2352,2358,2359,2360,2370,2376,2868,2870,3001B,3003,3005,3007,3008,3014,3058,3059,3061,3063
113100428236763001,07:39:29,07:41:00,,,,07:43:00,07:22:39,,07:37:56,,07:18:00,07:18:31,,,,,,,,07:33:50,,,,07:19:00,07:19:55,07:21:00,07:36:00,07:30:00,,07:33:00,07:17:00,07:21:27,07:23:08,07:25:06,07:26:00,07:24:02,,,,
113100429236763001,07:47:29,07:49:00,,,,07:51:00,07:30:39,,07:45:56,,07:26:00,07:26:31,,,,,,,,07:41:50,,,,07:27:00,07:27:55,07:29:00,07:44:00,07:38:00,,07:41:00,07:25:00,07:29:27,07:31:08,07:33:06,07:34:00,07:32:02,,,,
113100430236763001,07:55:29,07:57:00,,,,07:59:00,07:38:39,,07:53:56,,07:34:00,07:34:31,,,,,,,,07:49:50,,,,07:35:00,07:35:55,07:37:00,07:52:00,07:46:00,,07:49:00,07:32:00,07:37:27,07:39:08,07:41:06,07:42:00,07:40:02,,,,
113100431236763001,08:04:11,08:06:00,,,,08:08:00,07:46:39,,08:02:20,,07:42:00,07:42:31,,,,,,,,07:57:50,,,,07:43:00,07:43:55,07:45:00,08:00:00,07:54:00,,07:57:00,07:40:00,07:45:27,07:47:08,07:49:06,07:50:00,07:48:02,,,,
113100432236763001,08:13:11,08:15:00,,,,08:17:00,07:54:39,,08:11:20,,07:50:00,07:50:31,,,,,,,,08:06:50,,,,07:51:00,07:51:55,07:53:00,08:09:00,08:02:00,,08:06:00,07:48:00,07:53:27,07:55:08,07:57:06,07:58:00,07:56:02,,,,
113100433236763001,08:21:11,08:23:00,,,,08:25:00,08:02:39,,08:19:20,,07:58:00,07:58:31,,,,,,,,08:14:50,,,,07:59:00,07:59:55,08:01:00,08:17:00,08:10:00,,08:14:00,07:56:00,08:01:27,08:03:08,08:05:06,08:06:00,08:04:02,,,,
113100434236763001,08:29:11,08:31:00,,,,08:33:00,08:10:39,,08:27:20,,08:06:00,08:06:31,,,,,,,,08:22:50,,,,08:07:00,08:07:55,08:09:00,08:25:00,08:18:00,,08:22:00,08:04:00,08:09:27,08:11:08,08:13:06,08:14:00,08:12:02,,,,
113100435236763001,08:37:11,08:39:00,,,,08:41:00,08:18:39,,08:35:20,,08:14:00,08:14:31,,,,,,,,08:30:50,,,,08:15:00,08:15:55,08:17:00,08:33:00,08:26:00,,08:30:00,08:12:00,08:17:27,08:19:08,08:21:06,08:22:00,08:20:02,,,,
113100436236763001,08:45:11,08:47:00,,,,08:49:00,08:26:39,,08:43:20,,08:22:00,08:22:31,,,,,,,,08:38:50,,,,08:23:00,08:23:55,08:25:00,08:41:00,08:34:00,,08:38:00,08:20:00,08:25:27,08:27:08,08:29:06,08:30:00,08:28:02,,,,
113100437236763001,,,10:05:13,10:04:00,10:03:00,,,10:19:37,,10:06:45,,,10:23:30,10:24:00,10:08:00,10:14:00,10:21:00,10:22:05,10:23:00,,10:10:23,10:18:35,10:25:53,,,,,,10:11:00,,10:27:00,,,,,,10:17:00,10:17:40,10:19:13,10:20:38
