trip_id,1030,1083,1904,2088,2089,2207,2237,2238,2239,2269,2271,2587,2831,2898,5740,5741,5742B,5760,5761,5905,5906,5908,5910,5911B,5913,5958C,5959,5961,5965,5967,5968,6123,6459,6461,9025,9751,9753,9754B,9755,9756,9776,9777,9778,9779,9780
113365077237620601,,08:47:00,08:49:30,,08:44:12,08:45:00,,,,,,,08:51:00,,08:39:00,08:40:06,08:41:12,,08:35:24,08:29:00,08:29:32,08:30:46,08:31:58,08:34:00,08:32:58,,,,,,,08:42:48,,08:38:00,08:46:00,08:24:00,08:25:00,08:26:24,08:27:16,08:28:15,,,,,
113365078237620601,,12:47:00,12:49:30,,12:43:56,12:44:51,,,,,,,12:51:00,,12:38:00,12:39:15,12:40:31,,12:34:24,12:28:00,12:28:32,12:29:46,12:30:58,12:33:00,12:31:58,,,,,,,12:42:21,,12:37:00,12:46:00,12:23:00,12:24:00,12:25:24,12:26:16,12:27:15,,,,,
113365079237620601,,13:07:00,13:09:30,,13:03:56,13:04:51,,,,,,,13:11:00,,12:58:00,12:59:15,13:00:31,,12:54:24,12:48:00,12:48:32,12:49:46,12:50:58,12:53:00,12:51:58,,,,,,,13:02:21,,12:57:00,13:06:00,12:43:00,12:44:00,12:45:24,12:46:16,12:47:15,,,,,
113365080237620601,,09:27:00,09:29:30,,09:24:12,09:25:00,,,,,,,09:31:00,,09:19:00,09:20:06,09:21:12,,09:15:24,09:09:00,09:09:32,09:10:46,09:11:58,09:14:00,09:12:58,,,,,,,09:22:48,,09:18:00,09:26:00,09:04:00,09:05:00,09:06:24,09:07:16,09:08:15,,,,,
113365081237620601,,10:47:00,10:49:30,,10:44:12,10:45:00,,,,,,,10:51:00,,10:39:00,10:40:06,10:41:12,,10:35:24,10:29:00,10:29:32,10:30:46,10:31:58,10:34:00,10:32:58,,,,,,,10:42:48,,10:38:00,10:46:00,10:24:00,10:25:00,10:26:24,10:27:16,10:28:15,,,,,
113365082237620601,,11:46:00,11:48:30,,11:43:12,11:44:00,,,,,,,11:50:00,,11:38:00,11:39:06,11:40:12,,11:34:24,11:28:00,11:28:32,11:29:46,11:30:58,11:33:00,11:31:58,,,,,,,11:41:48,,11:37:00,11:45:00,11:23:00,11:24:00,11:25:24,11:26:16,11:27:15,,,,,
113365083237620601,,09:47:00,09:49:30,,09:44:12,09:45:00,,,,,,,09:51:00,,09:39:00,09:40:06,09:41:12,,09:35:24,09:29:00,09:29:32,09:30:46,09:31:58,09:34:00,09:32:58,,,,,,,09:42:48,,09:38:00,09:46:00,09:24:00,09:25:00,09:26:24,09:27:16,09:28:15,,,,,
113365084237620601,,10:07:00,10:09:30,,10:04:12,10:05:00,,,,,,,10:11:00,,09:59:00,10:00:06,10:01:12,,09:55:24,09:49:00,09:49:32,09:50:46,09:51:58,09:54:00,09:52:58,,,,,,,10:02:48,,09:58:00,10:06:00,09:44:00,09:45:00,09:46:24,09:47:16,09:48:15,,,,,
113365085237620601,,12:27:00,12:29:30,,12:23:56,12:24:51,,,,,,,12:31:00,,12:18:00,12:19:15,12:20:31,,12:14:24,12:08:00,12:08:32,12:09:46,12:10:58,12:13:00,12:11:58,,,,,,,12:22:21,,12:17:00,12:26:00,12:03:00,12:04:00,12:05:24,12:06:16,12:07:15,,,,,
113365086237620601,,14:28:00,14:30:30,,14:24:41,14:25:43,,,,,,,14:32:00,,14:18:00,14:19:25,14:20:50,,14:14:24,14:08:00,14:08:32,14:09:46,14:10:58,14:13:00,14:11:58,,,,,,,14:22:53,,14:17:00,14:27:00,14:03:00,14:04:00,14:05:24,14:06:16,14:07:15,,,,,
113365087237620601,,14:08:00,14:10:30,,14:04:41,14:05:43,,,,,,,14:12:00,,13:58:00,13:59:25,14:00:50,,13:54:24,13:48:00,13:48:32,13:49:46,13:50:58,13:53:00,13:51:58,,,,,,,14:02:53,,13:57:00,14:07:00,13:43:00,13:44:00,13:45:24,13:46:16,13:47:15,,,,,
113365088237620601,,16:29:00,16:31:30,,16:25:41,16:26:43,,,,,,,16:33:00,,16:19:00,16:20:25,16:21:50,,16:15:24,16:09:00,16:09:32,16:10:46,16:11:58,16:14:00,16:12:58,,,,,,,16:23:53,,16:18:00,16:28:00,16:04:00,16:05:00,16:06:24,16:07:16,16:08:15,,,,,
113365089237620601,,18:29:00,18:31:30,,18:25:41,18:26:43,,,,,,,18:33:00,,18:19:00,18:20:25,18:21:50,,18:15:24,18:09:00,18:09:32,18:10:46,18:11:58,18:14:00,18:12:58,,,,,,,18:23:53,,18:18:00,18:28:00,18:04:00,18:05:00,18:06:24,18:07:16,18:08:15,,,,,
113365090237620601,,19:09:00,19:11:30,,19:05:41,19:06:43,,,,,,,19:13:00,,18:59:00,19:00:25,19:01:50,,18:55:24,18:49:00,18:49:32,18:50:46,18:51:58,18:54:00,18:52:58,,,,,,,19:03:53,,18:58:00,19:08:00,18:44:00,18:45:00,18:46:24,18:47:16,18:48:15,,,,,
113365091237620601,,19:48:00,19:50:30,,19:44:56,19:45:51,,,,,,,19:52:00,,19:39:00,19:40:15,19:41:31,,19:35:24,19:29:00,19:29:32,19:30:46,19:31:58,19:34:00,19:32:58,,,,,,,19:43:21,,19:38:00,19:47:00,19:24:00,19:25:00,19:26:24,19:27:16,19:28:15,,,,,
113365092237620601,,20:27:00,20:29:30,,20:24:12,20:25:00,,,,,,,20:31:00,,20:19:00,20:20:06,20:21:12,,20:15:24,20:09:00,20:09:32,20:10:46,20:11:58,20:14:00,20:12:58,,,,,,,20:22:48,,20:18:00,20:26:00,20:04:00,20:05:00,20:06:24,20:07:16,20:08:15,,,,,
113365093237620601,,15:29:00,15:31:30,,15:25:41,15:26:43,,,,,,,15:33:00,,15:19:00,15:20:25,15:21:50,,15:15:24,15:09:00,15:09:32,15:10:46,15:11:58,15:14:00,15:12:58,,,,,,,15:23:53,,15:18:00,15:28:00,15:04:00,15:05:00,15:06:24,15:07:16,15:08:15,,,,,
113365094237620601,,15:09:00,15:11:30,,15:05:41,15:06:43,,,,,,,15:13:00,,14:59:00,15:00:25,15:01:50,,14:55:24,14:49:00,14:49:32,14:50:46,14:51:58,14:54:00,14:52:58,,,,,,,15:03:53,,14:58:00,15:08:00,14:44:00,14:45:00,14:46:24,14:47:16,14:48:15,,,,,
113365095237620601,,16:49:00,16:51:30,,16:45:41,16:46:43,,,,,,,16:53:00,,16:39:00,16:40:25,16:41:50,,16:35:24,16:29:00,16:29:32,16:30:46,16:31:58,16:34:00,16:32:58,,,,,,,16:43:53,,16:38:00,16:48:00,16:24:00,16:25:00,16:26:24,16:27:16,16:28:15,,,,,
113365096237620601,,16:09:00,16:11:30,,16:05:41,16:06:43,,,,,,,16:13:00,,15:59:00,16:00:25,16:01:50,,15:55:24,15:49:00,15:49:32,15:50:46,15:51:58,15:54:00,15:52:58,,,,,,,16:03:53,,15:58:00,16:08:00,15:44:00,15:45:00,15:46:24,15:47:16,15:48:15,,,,,
113365097237620601,,14:48:00,14:50:30,,14:44:41,14:45:43,,,,,,,14:52:00,,14:38:00,14:39:25,14:40:50,,14:34:24,14:28:00,14:28:32,14:29:46,14:30:58,14:33:00,14:31:58,,,,,,,14:42:53,,14:37:00,14:47:00,14:23:00,14:24:00,14:25:24,14:26:16,14:27:15,,,,,
113365098237620601,,18:09:00,18:11:30,,18:05:41,18:06:43,,,,,,,18:13:00,,17:59:00,18:00:25,18:01:50,,17:55:24,17:49:00,17:49:32,17:50:46,17:51:58,17:54:00,17:52:58,,,,,,,18:03:53,,17:58:00,18:08:00,17:44:00,17:45:00,17:46:24,17:47:16,17:48:15,,,,,
113365099237620601,,17:29:00,17:31:30,,17:25:41,17:26:43,,,,,,,17:33:00,,17:19:00,17:20:25,17:21:50,,17:15:24,17:09:00,17:09:32,17:10:46,17:11:58,17:14:00,17:12:58,,,,,,,17:23:53,,17:18:00,17:28:00,17:04:00,17:05:00,17:06:24,17:07:16,17:08:15,,,,,
113365100237620601,,15:49:00,15:51:30,,15:45:41,15:46:43,,,,,,,15:53:00,,15:39:00,15:40:25,15:41:50,,15:35:24,15:29:00,15:29:32,15:30:46,15:31:58,15:34:00,15:32:58,,,,,,,15:43:53,,15:38:00,15:48:00,15:24:00,15:25:00,15:26:24,15:27:16,15:28:15,,,,,
113365101237620601,,17:09:00,17:11:30,,17:05:41,17:06:43,,,,,,,17:13:00,,16:59:00,17:00:25,17:01:50,,16:55:24,16:49:00,16:49:32,16:50:46,16:51:58,16:54:00,16:52:58,,,,,,,17:03:53,,16:58:00,17:08:00,16:44:00,16:45:00,16:46:24,16:47:16,16:48:15,,,,,
113365102237620601,,17:49:00,17:51:30,,17:45:41,17:46:43,,,,,,,17:53:00,,17:39:00,17:40:25,17:41:50,,17:35:24,17:29:00,17:29:32,17:30:46,17:31:58,17:34:00,17:32:58,,,,,,,17:43:53,,17:38:00,17:48:00,17:24:00,17:25:00,17:26:24,17:27:16,17:28:15,,,,,
113365103237620601,,18:49:00,18:51:30,,18:45:41,18:46:43,,,,,,,18:53:00,,18:39:00,18:40:25,18:41:50,,18:35:24,18:29:00,18:29:32,18:30:46,18:31:58,18:34:00,18:32:58,,,,,,,18:43:53,,18:38:00,18:48:00,18:24:00,18:25:00,18:26:24,18:27:16,18:28:15,,,,,
113365104237620601,,19:28:00,19:30:30,,19:24:56,19:25:51,,,,,,,19:32:00,,19:19:00,19:20:15,19:21:31,,19:15:24,19:09:00,19:09:32,19:10:46,19:11:58,19:14:00,19:12:58,,,,,,,19:23:21,,19:18:00,19:27:00,19:04:00,19:05:00,19:06:24,19:07:16,19:08:15,,,,,
113365105237620601,,20:08:00,20:10:30,,20:04:56,20:05:51,,,,,,,20:12:00,,19:59:00,20:00:15,20:01:31,,19:55:24,19:49:00,19:49:32,19:50:46,19:51:58,19:54:00,19:52:58,,,,,,,20:03:21,,19:58:00,20:07:00,19:44:00,19:45:00,19:46:24,19:47:16,19:48:15,,,,,
113365106237620601,,20:47:00,20:49:30,,20:44:12,20:45:00,,,,,,,20:51:00,,20:39:00,20:40:06,20:41:12,,20:35:24,20:29:00,20:29:32,20:30:46,20:31:58,20:34:00,20:32:58,,,,,,,20:42:48,,20:38:00,20:46:00,20:24:00,20:25:00,20:26:24,20:27:16,20:28:15,,,,,
113365107237620601,,21:07:00,21:08:52,,21:04:12,21:05:00,,,,,,,21:10:00,,20:59:00,21:00:06,21:01:12,,20:55:24,20:49:00,20:49:32,20:50:46,20:51:58,20:54:00,20:52:58,,,,,,,21:02:48,,20:58:00,21:06:00,20:44:00,20:45:00,20:46:24,20:47:16,20:48:15,,,,,
113365108237620601,,06:24:00,06:26:30,,06:21:27,06:22:08,,,,,,,06:28:00,,06:17:00,06:17:57,06:18:53,,06:13:24,06:07:00,06:07:32,06:08:46,06:09:58,06:12:00,06:10:58,,,,,,,06:20:15,,06:16:00,06:23:00,06:02:00,06:03:00,06:04:24,06:05:16,06:06:15,,,,,
113365109237620601,,06:54:00,06:56:30,,06:51:27,06:52:08,,,,,,,06:58:00,,06:47:00,06:47:57,06:48:53,,06:43:24,06:37:00,06:37:32,06:38:46,06:39:58,06:42:00,06:40:58,,,,,,,06:50:15,,06:46:00,06:53:00,06:32:00,06:33:00,06:34:24,06:35:16,06:36:15,,,,,
113365110237620601,,22:28:00,22:29:52,,22:25:12,22:26:00,,,,,,,22:31:00,,22:20:00,22:21:06,22:22:12,,22:16:24,22:10:00,22:10:32,22:11:46,22:12:58,22:15:00,22:13:58,,,,,,,22:23:48,,22:19:00,22:27:00,22:05:00,22:06:00,22:07:24,22:08:16,22:09:15,,,,,
