trip_id,1585,1586,1587,1601,1602,1605,1614B,1615,1617,1620B,1627,1629,1631,1638B,1639,1640B,1656B,1657,1659,1660B,1668,1669,1673,2424,2425,2911,2913,9164
113302137237399000,,,,16:36:15,16:44:07,16:41:54,16:39:43,16:40:38,16:43:06,16:45:13,16:46:14,16:48:00,,16:34:00,,,,,,,,,,16:38:00,,,,16:47:13
113302138237399000,,,,16:48:15,16:56:07,16:53:54,16:51:43,16:52:38,16:55:06,16:57:13,16:58:14,17:00:00,,16:46:00,,,,,,,,,,16:50:00,,,,16:59:13
113302139237399000,,,,17:00:15,17:08:07,17:05:54,17:03:43,17:04:38,17:07:06,17:09:13,17:10:14,17:12:00,,16:58:00,,,,,,,,,,17:02:00,,,,17:11:13
113302140237399000,,,,,,,,,,,,16:41:00,16:42:14,16:53:00,,,16:43:18,16:44:52,16:47:36,16:48:12,16:43:56,16:46:07,16:51:17,,16:50:00,,,
113302141237399000,,,,,,,,,,,,16:53:00,16:54:14,17:05:00,,,16:55:18,16:56:52,16:59:36,17:00:12,16:55:56,16:58:07,17:03:17,,17:02:00,,,
113302142237399000,,,,,,,,,,,,17:05:00,17:06:14,17:17:00,,,17:07:18,17:08:52,17:11:36,17:12:12,17:07:56,17:10:07,17:15:17,,17:14:00,,,
113302151237399000,,,,17:12:15,17:20:07,17:17:54,17:15:43,17:16:38,17:19:06,17:21:13,17:22:14,17:24:00,,17:10:00,,,,,,,,,,17:14:00,,,,17:23:13
113302152237399000,,,,17:24:15,17:32:07,17:29:54,17:27:43,17:28:38,17:31:06,17:33:13,17:34:14,17:36:00,,17:22:00,,,,,,,,,,17:26:00,,,,17:35:13
113302153237399000,,,,17:36:15,17:44:07,17:41:54,17:39:43,17:40:38,17:43:06,17:45:13,17:46:14,17:48:00,,17:34:00,,,,,,,,,,17:38:00,,,,17:47:13
113302154237399000,,,,17:48:15,17:56:07,17:53:54,17:51:43,17:52:38,17:55:06,17:57:13,17:58:14,18:00:00,,17:46:00,,,,,,,,,,17:50:00,,,,17:59:13
113302155237399000,,,,18:00:15,18:08:07,18:05:54,18:03:43,18:04:38,18:07:06,18:09:13,18:10:14,18:12:00,,17:58:00,,,,,,,,,,18:02:00,,,,18:11:13
113302156237399000,,,,,,,,,,,,17:17:00,17:18:14,17:29:00,,,17:19:18,17:20:52,17:23:36,17:24:12,17:19:56,17:22:07,17:27:17,,17:26:00,,,
113302157237399000,,,,,,,,,,,,17:29:00,17:30:14,17:41:00,,,17:31:18,17:32:52,17:35:36,17:36:12,17:31:56,17:34:07,17:39:17,,17:38:00,,,
113302158237399000,,,,,,,,,,,,17:41:00,17:42:14,17:53:00,,,17:43:18,17:44:52,17:47:36,17:48:12,17:43:56,17:46:07,17:51:17,,17:50:00,,,
113302159237399000,,,,,,,,,,,,17:53:00,17:54:14,18:05:00,,,17:55:18,17:56:52,17:59:36,18:00:12,17:55:56,17:58:07,18:03:17,,18:02:00,,,
113302164237399000,,,,18:11:42,18:19:07,18:16:54,18:14:43,18:15:38,18:18:06,18:20:13,18:21:14,18:23:00,,18:10:00,,,,,,,,,,18:13:00,,,,18:22:13
113302165237399000,,,,18:24:42,18:32:07,18:29:54,18:27:43,18:28:38,18:31:06,18:33:13,18:34:14,18:36:00,,18:23:00,,,,,,,,,,18:26:00,,,,18:35:13
113302166237399000,,,,18:39:42,18:47:07,18:44:54,18:42:43,18:43:38,18:46:06,18:48:13,18:49:14,18:51:00,,18:38:00,,,,,,,,,,18:41:00,,,,18:50:13
113302167237399000,,,,,,,,,,,,18:05:00,18:06:14,18:17:00,,,18:07:18,18:08:52,18:11:36,18:12:12,18:07:56,18:10:07,18:15:17,,18:14:00,,,
113302168237399000,,,,,,,,,,,,18:17:00,18:18:14,18:29:00,,,18:19:18,18:20:52,18:23:36,18:24:12,18:19:56,18:22:07,18:27:17,,18:26:00,,,
113302169237399000,,,,,,,,,,,,18:29:00,18:30:14,18:41:00,,,18:31:18,18:32:52,18:35:36,18:36:12,18:31:56,18:34:07,18:39:17,,18:38:00,,,
113302170237399000,,,,,,,,,,,,18:44:00,18:45:14,18:56:00,,,18:46:18,18:47:52,18:50:36,18:51:12,18:46:56,18:49:07,18:54:17,,18:53:00,,,
113302172237399000,,,,19:08:08,19:15:07,19:12:54,19:10:43,19:11:38,19:14:06,19:16:13,19:17:14,19:19:00,,19:07:00,,,,,,,,,,19:09:00,,,,19:18:13
113302173237399000,,,,19:22:08,19:29:07,19:26:54,19:24:43,19:25:38,19:28:06,19:30:13,19:31:14,19:33:00,,19:21:00,,,,,,,,,,19:23:00,,,,19:32:13
113302174237399000,,,,19:53:08,20:00:07,19:57:54,19:55:43,19:56:38,19:59:06,20:01:13,20:02:14,20:04:00,,19:52:00,,,,,,,,,,19:54:00,,,,20:03:13
113302175237399000,,,,20:21:08,20:27:31,20:25:30,20:23:33,20:24:22,20:26:35,20:28:30,20:29:25,20:31:00,,20:20:00,,,,,,,,,,20:22:00,,,,20:30:18
113302176237399000,,,,,,,,,,,,19:39:00,19:40:14,19:51:00,,,19:41:18,19:42:52,19:45:36,19:46:12,19:41:56,19:44:07,19:49:17,,19:48:00,,,
113302177237399000,,,,,,,,,,,,20:10:00,20:11:06,20:21:00,,,20:12:02,20:13:26,20:15:52,20:16:24,20:12:36,20:14:33,20:19:17,,20:18:00,,,
113302178237399000,,,,21:01:08,21:07:31,21:05:30,21:03:33,21:04:22,21:06:35,21:08:30,21:09:25,21:11:00,,21:00:00,,,,,,,,,,21:02:00,,,,21:10:18
113302179237399000,,,,,,,,,,,,20:37:00,20:38:06,20:48:00,,,20:39:02,20:40:26,20:42:52,20:43:24,20:39:36,20:41:33,20:46:17,,20:45:00,,,
113302180237399000,,,,,,,,,,,,09:17:00,09:18:22,09:30:00,,,09:19:33,09:21:18,09:24:20,09:25:00,09:20:15,09:22:42,09:28:17,,09:27:00,,,
113302181237399000,,,,,,,,,,,,09:46:00,09:47:22,09:59:00,,,09:48:33,09:50:18,09:53:20,09:54:00,09:49:15,09:51:42,09:57:17,,09:56:00,,,
113302182237399000,,,,06:40:08,06:46:31,06:44:30,06:42:33,06:43:22,06:45:35,06:47:30,06:48:25,06:50:00,,06:39:00,,,,,,,,,,06:41:00,,,,06:49:18
113302183237399000,,,,07:10:08,07:16:31,07:14:30,07:12:33,07:13:22,07:15:35,07:17:30,07:18:25,07:20:00,,07:09:00,,,,,,,,,,07:11:00,,,,07:19:18
113302184237399000,,,,,,,,,,,,19:14:00,19:15:14,19:26:00,,,19:16:18,19:17:52,19:20:36,19:21:12,19:16:56,19:19:07,19:24:17,,19:23:00,,,
113302185237399000,,,,06:18:08,06:24:31,06:22:30,06:20:33,06:21:22,06:23:35,06:25:30,06:26:25,06:28:00,,06:17:00,,,,,,,,,,06:19:00,,,,06:27:18
113302186237399000,,,,18:54:42,19:02:07,18:59:54,18:57:43,18:58:38,19:01:06,19:03:13,19:04:14,19:06:00,,18:53:00,,,,,,,,,,18:56:00,,,,19:05:13
113302187237399000,,,,,,,,,,,,18:59:00,19:00:14,19:11:00,,,19:01:18,19:02:52,19:05:36,19:06:12,19:01:56,19:04:07,19:09:17,,19:08:00,,,
113302188237399000,,,,06:55:08,07:01:31,06:59:30,06:57:33,06:58:22,07:00:35,07:02:30,07:03:25,07:05:00,,06:54:00,,,,,,,,,,06:56:00,,,,07:04:18
113302338237401500,,,,06:18:08,06:24:31,06:22:30,06:20:33,06:21:22,06:23:35,06:25:30,06:26:25,06:28:00,,06:17:00,,,,,,,,,,06:19:00,,,,06:27:18
