trip_id,2241G,2242F,2246F,2793F,3308F,3317,3321,3330F,3334F,3334G,3335F,3337F,3338F,3360F,5039,5040,5041F,5042,5274F,5275F,5277F,5278F,5279F,5308F,5354H,5874F,6204,6258
113478959238199501,,19:51:00,,,,,20:01:57,,20:05:00,,,20:04:09,,19:48:00,20:00:00,,,,,,19:58:18,19:56:43,19:55:00,,19:53:00,,19:49:39,
113478962238199501,10:28:00,,,,10:32:00,10:18:07,,10:15:52,,,10:15:00,,,,,,,10:20:00,10:24:00,10:22:19,,,,10:26:00,,10:21:18,,10:29:39
113478963238199501,10:44:00,,,,10:48:00,10:34:07,,10:31:52,,,10:31:00,,,,,,,10:36:00,10:40:00,10:38:19,,,,10:42:00,,10:37:18,,10:45:39
113478965238199501,,19:36:00,,,,,19:46:57,,19:50:00,,,19:49:09,,19:33:00,19:45:00,,,,,,19:43:18,19:41:43,19:40:00,,19:38:00,,19:34:39,
113478967238199501,14:13:00,,,,14:17:00,14:03:07,,14:00:52,,,14:00:00,,,,,,,14:05:00,14:09:00,14:07:19,,,,14:11:00,,14:06:18,,14:14:39
113478968238199501,10:13:00,,,,10:17:00,10:03:07,,10:00:52,,,10:00:00,,,,,,,10:05:00,10:09:00,10:07:19,,,,10:11:00,,10:06:18,,10:14:39
113478970238199501,11:28:00,,,,11:32:00,11:18:07,,11:15:52,,,11:15:00,,,,,,,11:20:00,11:24:00,11:22:19,,,,11:26:00,,11:21:18,,11:29:39
113478971238199501,11:58:00,,,,12:02:00,11:48:07,,11:45:52,,,11:45:00,,,,,,,11:50:00,11:54:00,11:52:19,,,,11:56:00,,11:51:18,,11:59:39
113478972238199501,12:28:00,,,,12:32:00,12:18:07,,12:15:52,,,12:15:00,,,,,,,12:20:00,12:24:00,12:22:19,,,,12:26:00,,12:21:18,,12:29:39
113478973238199501,12:43:00,,,,12:47:00,12:33:07,,12:30:52,,,12:30:00,,,,,,,12:35:00,12:39:00,12:37:19,,,,12:41:00,,12:36:18,,12:44:39
113478974238199501,11:43:00,,,,11:47:00,11:33:07,,11:30:52,,,11:30:00,,,,,,,11:35:00,11:39:00,11:37:19,,,,11:41:00,,11:36:18,,11:44:39
113478975238199501,12:13:00,,,,12:17:00,12:03:07,,12:00:52,,,12:00:00,,,,,,,12:05:00,12:09:00,12:07:19,,,,12:11:00,,12:06:18,,12:14:39
