trip_id,1043,1320,1321,1339,1402B,1403,1404,1419,1462,1463,1464,1474B,1531,1533,1551,2022,2028,2037,2038,2039,2041,2042,2043,2083,3463,3902,3903,3904,3905,3911,3920,3956,3957,3958,3959,3962,6055,6448,6450,9853
113279739237278601,,08:17:26,,08:09:00,,,,,08:27:11,08:29:38,08:30:54,08:32:00,08:15:57,08:18:00,,,08:15:00,,,,08:10:32,08:11:28,08:12:02,,,08:20:12,08:20:55,08:22:00,08:23:18,08:24:27,08:19:05,,,,,,08:29:00,,08:26:00,08:13:37
113279740237278601,,08:44:26,,08:36:00,,,,,08:54:11,08:56:38,08:57:54,08:59:00,08:42:57,08:45:00,,,08:42:00,,,,08:37:32,08:38:28,08:39:02,,,08:47:12,08:47:55,08:49:00,08:50:18,08:51:27,08:46:05,,,,,,08:56:00,,08:53:00,08:40:37
113279741237278601,,09:04:26,,08:56:00,,,,,09:14:11,09:16:38,09:17:54,09:19:00,09:02:57,09:05:00,,,09:02:00,,,,08:57:32,08:58:28,08:59:02,,,09:07:12,09:07:55,09:09:00,09:10:18,09:11:27,09:06:05,,,,,,09:16:00,,09:13:00,09:00:37
113279742237278601,,09:24:26,,09:16:00,,,,,09:34:11,09:36:38,09:37:54,09:39:00,09:22:57,09:25:00,,,09:22:00,,,,09:17:32,09:18:28,09:19:02,,,09:27:12,09:27:55,09:29:00,09:30:18,09:31:27,09:26:05,,,,,,09:36:00,,09:33:00,09:20:37
113279743237278601,,09:44:26,,09:36:00,,,,,09:54:11,09:56:38,09:57:54,09:59:00,09:42:57,09:45:00,,,09:42:00,,,,09:37:32,09:38:28,09:39:02,,,09:47:12,09:47:55,09:49:00,09:50:18,09:51:27,09:46:05,,,,,,09:56:00,,09:53:00,09:40:37
113279744237278601,,10:04:26,,09:56:00,,,,,10:14:11,10:16:38,10:17:54,10:19:00,10:02:57,10:05:00,,,10:02:00,,,,09:57:32,09:58:28,09:59:02,,,10:07:12,10:07:55,10:09:00,10:10:18,10:11:27,10:06:05,,,,,,10:16:00,,10:13:00,10:00:37
113279745237278601,,10:24:26,,10:16:00,,,,,10:34:11,10:36:38,10:37:54,10:39:00,10:22:57,10:25:00,,,10:22:00,,,,10:17:32,10:18:28,10:19:02,,,10:27:12,10:27:55,10:29:00,10:30:18,10:31:27,10:26:05,,,,,,10:36:00,,10:33:00,10:20:37
113279746237278601,,10:44:26,,10:36:00,,,,,10:54:11,10:56:38,10:57:54,10:59:00,10:42:57,10:45:00,,,10:42:00,,,,10:37:32,10:38:28,10:39:02,,,10:47:12,10:47:55,10:49:00,10:50:18,10:51:27,10:46:05,,,,,,10:56:00,,10:53:00,10:40:37
113279747237278601,,11:04:26,,10:56:00,,,,,11:14:11,11:16:38,11:17:54,11:19:00,11:02:57,11:05:00,,,11:02:00,,,,10:57:32,10:58:28,10:59:02,,,11:07:12,11:07:55,11:09:00,11:10:18,11:11:27,11:06:05,,,,,,11:16:00,,11:13:00,11:00:37
113279748237278601,,11:24:26,,11:16:00,,,,,11:34:11,11:36:38,11:37:54,11:39:00,11:22:57,11:25:00,,,11:22:00,,,,11:17:32,11:18:28,11:19:02,,,11:27:12,11:27:55,11:29:00,11:30:18,11:31:27,11:26:05,,,,,,11:36:00,,11:33:00,11:20:37
