trip_id,1453,1455,1472,4287,4288,4289,4290,4292,4293,4294,4295,4296,4297,4298,4299,4310,4311,4313,4314,4315,4318,4319,4340,4341,4342,4344,4345,4347,4348,4349,4351,4355,4357,4358,9059
113306161237420000,13:36:17,,13:44:30,,13:41:18,13:40:35,13:41:52,,,,,,13:29:00,13:30:35,13:31:53,13:33:00,13:34:59,13:37:00,,,,13:45:08,,,13:39:49,,,13:37:56,,13:39:00,,,,,13:46:00
113306162237420000,13:51:17,,13:59:30,,13:56:18,13:55:35,13:56:52,,,,,,13:44:00,13:45:35,13:46:53,13:48:00,13:49:59,13:52:00,,,,14:00:08,,,13:54:49,,,13:52:56,,13:54:00,,,,,14:01:00
113306163237420000,14:06:17,,14:15:17,,14:11:38,14:10:48,14:12:17,,,,,,13:59:00,14:00:35,14:01:53,14:03:00,14:04:59,14:07:00,,,,14:16:00,,,14:09:56,,,14:07:56,,14:09:00,,,,,14:17:00
113306164237420000,14:21:17,,14:30:17,,14:26:38,14:25:48,14:27:17,,,,,,14:14:00,14:15:35,14:16:53,14:18:00,14:19:59,14:22:00,,,,14:31:00,,,14:24:56,,,14:22:56,,14:24:00,,,,,14:32:00
113306165237420000,14:36:17,,14:45:17,,14:41:38,14:40:48,14:42:17,,,,,,14:29:00,14:30:35,14:31:53,14:33:00,14:34:59,14:37:00,,,,14:46:00,,,14:39:56,,,14:37:56,,14:39:00,,,,,14:47:00
113306166237420000,15:00:17,,15:09:17,,15:05:38,15:04:48,15:06:17,,,,,,14:53:00,14:54:35,14:55:53,14:57:00,14:58:59,15:01:00,,,,15:10:00,,,15:03:56,,,15:01:56,,15:03:00,,,,,15:11:00
113306167237420000,15:12:17,,15:21:17,,15:17:38,15:16:48,15:18:17,,,,,,15:05:00,15:06:35,15:07:53,15:09:00,15:10:59,15:13:00,,,,15:22:00,,,15:15:56,,,15:13:56,,15:15:00,,,,,15:23:00
113306168237420000,15:24:17,,15:33:17,,15:29:38,15:28:48,15:30:17,,,,,,15:17:00,15:18:35,15:19:53,15:21:00,15:22:59,15:25:00,,,,15:34:00,,,15:27:56,,,15:25:56,,15:27:00,,,,,15:35:00
113306169237420000,15:36:17,,15:45:17,,15:41:38,15:40:48,15:42:17,,,,,,15:29:00,15:30:35,15:31:53,15:33:00,15:34:59,15:37:00,,,,15:46:00,,,15:39:56,,,15:37:56,,15:39:00,,,,,15:47:00
113306170237420000,15:47:17,,15:56:17,,15:52:38,15:51:48,15:53:17,,,,,,15:40:00,15:41:35,15:42:53,15:44:00,15:45:59,15:48:00,,,,15:57:00,,,15:50:56,,,15:48:56,,15:50:00,,,,,15:58:00
113306171237420000,15:59:17,,16:07:30,,16:04:18,16:03:35,16:04:52,,,,,,15:52:00,15:53:35,15:54:53,15:56:00,15:57:59,16:00:00,,,,16:08:08,,,16:02:49,,,16:00:56,,16:02:00,,,,,16:09:00
113306172237420000,16:11:17,,16:19:30,,16:16:18,16:15:35,16:16:52,,,,,,16:04:00,16:05:35,16:06:53,16:08:00,16:09:59,16:12:00,,,,16:20:08,,,16:14:49,,,16:12:56,,16:14:00,,,,,16:21:00
113306173237420000,16:23:17,,16:31:30,,16:28:18,16:27:35,16:28:52,,,,,,16:16:00,16:17:35,16:18:53,16:20:00,16:21:59,16:24:00,,,,16:32:08,,,16:26:49,,,16:24:56,,16:26:00,,,,,16:33:00
113306174237420000,16:35:17,,16:43:30,,16:40:18,16:39:35,16:40:52,,,,,,16:28:00,16:29:35,16:30:53,16:32:00,16:33:59,16:36:00,,,,16:44:08,,,16:38:49,,,16:36:56,,16:38:00,,,,,16:45:00
113306175237420000,16:47:17,,16:55:30,,16:52:18,16:51:35,16:52:52,,,,,,16:40:00,16:41:35,16:42:53,16:44:00,16:45:59,16:48:00,,,,16:56:08,,,16:50:49,,,16:48:56,,16:50:00,,,,,16:57:00
113306176237420000,16:59:17,,17:07:30,,17:04:18,17:03:35,17:04:52,,,,,,16:52:00,16:53:35,16:54:53,16:56:00,16:57:59,17:00:00,,,,17:08:08,,,17:02:49,,,17:00:56,,17:02:00,,,,,17:09:00
113306177237420000,17:11:17,,17:19:30,,17:16:18,17:15:35,17:16:52,,,,,,17:04:00,17:05:35,17:06:53,17:08:00,17:09:59,17:12:00,,,,17:20:08,,,17:14:49,,,17:12:56,,17:14:00,,,,,17:21:00
113306178237420000,17:23:17,,17:31:30,,17:28:18,17:27:35,17:28:52,,,,,,17:16:00,17:17:35,17:18:53,17:20:00,17:21:59,17:24:00,,,,17:32:08,,,17:26:49,,,17:24:56,,17:26:00,,,,,17:33:00
113306179237420000,17:35:17,,17:43:30,,17:40:18,17:39:35,17:40:52,,,,,,17:28:00,17:29:35,17:30:53,17:32:00,17:33:59,17:36:00,,,,17:44:08,,,17:38:49,,,17:36:56,,17:38:00,,,,,17:45:00
113306180237420000,17:47:17,,17:55:30,,17:52:18,17:51:35,17:52:52,,,,,,17:40:00,17:41:35,17:42:53,17:44:00,17:45:59,17:48:00,,,,17:56:08,,,17:50:49,,,17:48:56,,17:50:00,,,,,17:57:00
113306181237420000,17:59:17,,18:08:17,,18:04:38,18:03:48,18:05:17,,,,,,17:52:00,17:53:35,17:54:53,17:56:00,17:57:59,18:00:00,,,,18:09:00,,,18:02:56,,,18:00:56,,18:02:00,,,,,18:10:00
113306182237420000,18:11:17,,18:20:17,,18:16:38,18:15:48,18:17:17,,,,,,18:04:00,18:05:35,18:06:53,18:08:00,18:09:59,18:12:00,,,,18:21:00,,,18:14:56,,,18:12:56,,18:14:00,,,,,18:22:00
113306183237420000,18:23:17,,18:32:17,,18:28:38,18:27:48,18:29:17,,,,,,18:16:00,18:17:35,18:18:53,18:20:00,18:21:59,18:24:00,,,,18:33:00,,,18:26:56,,,18:24:56,,18:26:00,,,,,18:34:00
113306184237420000,18:35:17,,18:44:17,,18:40:38,18:39:48,18:41:17,,,,,,18:28:00,18:29:35,18:30:53,18:32:00,18:33:59,18:36:00,,,,18:45:00,,,18:38:56,,,18:36:56,,18:38:00,,,,,18:46:00
113306185237420000,18:47:17,,18:56:17,,18:52:38,18:51:48,18:53:17,,,,,,18:40:00,18:41:35,18:42:53,18:44:00,18:45:59,18:48:00,,,,18:57:00,,,18:50:56,,,18:48:56,,18:50:00,,,,,18:58:00
113306186237420000,19:00:17,,19:08:30,,19:05:18,19:04:35,19:05:52,,,,,,18:53:00,18:54:35,18:55:53,18:57:00,18:58:59,19:01:00,,,,19:09:08,,,19:03:49,,,19:01:56,,19:03:00,,,,,19:10:00
113306187237420000,19:16:17,,19:24:30,,19:21:18,19:20:35,19:21:52,,,,,,19:09:00,19:10:35,19:11:53,19:13:00,19:14:59,19:17:00,,,,19:25:08,,,19:19:49,,,19:17:56,,19:19:00,,,,,19:26:00
113306188237420000,19:35:17,,19:43:30,,19:40:18,19:39:35,19:40:52,,,,,,19:28:00,19:29:35,19:30:53,19:32:00,19:33:59,19:36:00,,,,19:44:08,,,19:38:49,,,19:36:56,,19:38:00,,,,,19:45:00
113306189237420000,19:55:17,,20:03:30,,20:00:18,19:59:35,20:00:52,,,,,,19:48:00,19:49:35,19:50:53,19:52:00,19:53:59,19:56:00,,,,20:04:08,,,19:58:49,,,19:56:56,,19:58:00,,,,,20:05:00
