trip_id,1662,1664,2127,2141,2218,2225,2252,2254,2259,2260,2683,2684,2685,3055,3056,3057,3066,3608B,3609,3612,3613,6483B,6484B,6792,6799,6808B,6811B,6856B,6860B,7568
113714047239009501,,18:41:00,18:50:11,,18:46:36,,18:52:35,18:55:00,,,,19:00:00,,,,18:47:06,18:48:44,18:58:58,18:59:26,,,18:54:00,,18:58:00,,18:42:55,18:56:46,,,18:45:00
113714048239009501,,18:51:00,19:00:11,,18:56:36,,19:02:35,19:05:00,,,,19:10:00,,,,18:57:06,18:58:44,19:08:58,19:09:26,,,19:04:00,,19:08:00,,18:52:55,19:06:46,,,18:55:00
113714049239009501,06:20:00,,,06:13:00,,06:09:50,,,06:15:35,06:17:00,06:02:00,,06:07:00,06:13:38,06:15:01,,,,,06:02:17,06:03:05,,06:08:00,,06:04:00,,,06:05:23,06:18:27,
113714050239009501,06:40:00,,,06:33:00,,06:29:50,,,06:35:35,06:37:00,06:22:00,,06:27:00,06:33:38,06:35:01,,,,,06:22:17,06:23:05,,06:28:00,,06:24:00,,,06:25:23,06:38:27,
113714051239009501,06:59:00,,,06:52:00,,06:48:50,,,06:54:35,06:56:00,06:41:00,,06:46:00,06:52:38,06:54:01,,,,,06:41:17,06:42:05,,06:47:00,,06:43:00,,,06:44:23,06:57:27,
113714052239009501,20:00:00,,,19:52:00,,19:48:12,,,19:55:14,19:57:00,19:39:00,,19:44:00,19:52:48,19:54:31,,,,,19:39:17,19:40:05,,19:46:00,,19:41:00,,,19:42:23,19:58:27,
113714053239009501,19:48:00,,,19:40:00,,19:36:12,,,19:43:14,19:45:00,19:27:00,,19:32:00,19:40:48,19:42:31,,,,,19:27:17,19:28:05,,19:34:00,,19:29:00,,,19:30:23,19:46:27,
113714054239009501,19:36:00,,,19:28:00,,19:24:12,,,19:31:14,19:33:00,19:15:00,,19:20:00,19:28:48,19:30:31,,,,,19:15:17,19:16:05,,19:22:00,,19:17:00,,,19:18:23,19:34:27,
113714055239009501,19:24:00,,,19:16:00,,19:12:12,,,19:19:14,19:21:00,19:03:00,,19:08:00,19:16:48,19:18:31,,,,,19:03:17,19:04:05,,19:10:00,,19:05:00,,,19:06:23,19:22:27,
113714056239009501,07:14:00,,,07:07:00,,07:03:50,,,07:09:35,07:11:00,06:56:00,,07:01:00,07:07:38,07:09:01,,,,,06:56:17,06:57:05,,07:02:00,,06:58:00,,,06:59:23,07:12:27,
113714057239009501,07:29:00,,,07:22:00,,07:18:50,,,07:24:35,07:26:00,07:11:00,,07:16:00,07:22:38,07:24:01,,,,,07:11:17,07:12:05,,07:17:00,,07:13:00,,,07:14:23,07:27:27,
113714058239009501,07:44:00,,,07:37:00,,07:33:50,,,07:39:35,07:41:00,07:26:00,,07:31:00,07:37:38,07:39:01,,,,,07:26:17,07:27:05,,07:32:00,,07:28:00,,,07:29:23,07:42:27,
113714059239009501,07:59:00,,,07:52:00,,07:48:50,,,07:54:35,07:56:00,07:41:00,,07:46:00,07:52:38,07:54:01,,,,,07:41:17,07:42:05,,07:47:00,,07:43:00,,,07:44:23,07:57:27,
113714060239009501,08:14:00,,,08:07:00,,08:03:50,,,08:09:35,08:11:00,07:56:00,,08:01:00,08:07:38,08:09:01,,,,,07:56:17,07:57:05,,08:02:00,,07:58:00,,,07:59:23,08:12:27,
113714061239009501,08:29:00,,,08:22:00,,08:18:50,,,08:24:35,08:26:00,08:11:00,,08:16:00,08:22:38,08:24:01,,,,,08:11:17,08:12:05,,08:17:00,,08:13:00,,,08:14:23,08:27:27,
113714062239009501,08:44:00,,,08:37:00,,08:33:50,,,08:39:35,08:41:00,08:26:00,,08:31:00,08:37:38,08:39:01,,,,,08:26:17,08:27:05,,08:32:00,,08:28:00,,,08:29:23,08:42:27,
113714063239009501,08:59:00,,,08:52:00,,08:48:50,,,08:54:35,08:56:00,08:41:00,,08:46:00,08:52:38,08:54:01,,,,,08:41:17,08:42:05,,08:47:00,,08:43:00,,,08:44:23,08:57:27,
113714064239009501,09:14:00,,,09:07:00,,09:03:50,,,09:09:35,09:11:00,08:56:00,,09:01:00,09:07:38,09:09:01,,,,,08:56:17,08:57:05,,09:02:00,,08:58:00,,,08:59:23,09:12:27,
113714065239009501,09:29:00,,,09:22:00,,09:18:50,,,09:24:35,09:26:00,09:11:00,,09:16:00,09:22:38,09:24:01,,,,,09:11:17,09:12:05,,09:17:00,,09:13:00,,,09:14:23,09:27:27,
113714066239009501,09:44:00,,,09:37:00,,09:33:50,,,09:39:35,09:41:00,09:26:00,,09:31:00,09:37:38,09:39:01,,,,,09:26:17,09:27:05,,09:32:00,,09:28:00,,,09:29:23,09:42:27,
113714067239009501,09:59:00,,,09:52:00,,09:48:50,,,09:54:35,09:56:00,09:41:00,,09:46:00,09:52:38,09:54:01,,,,,09:41:17,09:42:05,,09:47:00,,09:43:00,,,09:44:23,09:57:27,
113714068239009501,10:11:00,,,10:04:00,,10:00:50,,,10:06:35,10:08:00,09:53:00,,09:58:00,10:04:38,10:06:01,,,,,09:53:17,09:54:05,,09:59:00,,09:55:00,,,09:56:23,10:09:27,
113714069239009501,10:21:00,,,10:14:00,,10:10:50,,,10:16:35,10:18:00,10:03:00,,10:08:00,10:14:38,10:16:01,,,,,10:03:17,10:04:05,,10:09:00,,10:05:00,,,10:06:23,10:19:27,
113714070239009501,10:31:00,,,10:24:00,,10:20:50,,,10:26:35,10:28:00,10:13:00,,10:18:00,10:24:38,10:26:01,,,,,10:13:17,10:14:05,,10:19:00,,10:15:00,,,10:16:23,10:29:27,
