trip_id,1018,1204,1260,1478,1479,1480,1482,1483,1484,1486B,1487,1489,1490,1492,1493,1495,1498,1541B,2319,2375,2382,2383,2648,5296B,5297B,6856B
113349621237570001,,14:10:39,,,,,,,,14:06:00,14:07:16,14:12:02,14:15:41,14:18:56,14:21:04,,,14:22:00,,14:13:00,14:24:00,,14:10:04,14:18:00,,
113349629237570001,,08:37:19,,,,,,,,08:32:00,08:33:27,08:38:53,08:42:41,08:46:10,08:48:50,,,08:50:00,,08:40:00,08:52:00,,08:36:39,08:45:00,,
113349630237570001,07:37:00,,07:32:37,07:21:32,07:22:58,07:25:09,07:31:00,07:34:01,07:35:37,07:38:00,,,,,,07:27:39,07:23:46,,07:30:00,,,07:20:00,,,07:26:00,07:28:32
113349632237570001,,07:46:39,,,,,,,,07:42:00,07:43:16,07:48:02,07:51:41,07:54:56,07:57:04,,,07:58:00,,07:49:00,08:00:00,,07:46:04,07:54:00,,
113349633237570001,09:22:00,,09:17:37,09:04:47,09:06:28,09:09:00,09:16:00,09:19:01,09:20:37,09:23:00,,,,,,09:12:04,09:07:24,,09:15:00,,,09:03:00,,,09:10:00,09:13:10
113349634237570001,,09:28:39,,,,,,,,09:24:00,09:25:16,09:30:02,09:33:41,09:36:56,09:39:04,,,09:40:00,,09:31:00,09:42:00,,09:28:04,09:36:00,,
113349637237570001,08:32:00,,08:27:37,08:14:47,08:16:28,08:19:00,08:26:00,08:29:01,08:30:37,08:33:00,,,,,,08:22:04,08:17:24,,08:25:00,,,08:13:00,,,08:20:00,08:23:10
113349641237570001,,16:40:39,,,,,,,,16:36:00,16:37:16,16:42:02,16:45:41,16:49:10,16:51:50,,,16:53:00,,16:43:00,16:55:00,,16:40:04,16:48:00,,
113349643237570001,,15:51:39,,,,,,,,15:47:00,15:48:16,15:53:02,15:56:41,16:00:10,16:02:50,,,16:04:00,,15:54:00,16:06:00,,15:51:04,15:59:00,,
113349644237570001,21:58:00,,21:54:15,21:45:17,21:46:28,21:48:17,21:52:51,21:55:26,21:56:49,21:59:00,,,,,,21:50:14,21:47:08,,21:52:00,,,21:44:00,,,21:49:00,21:50:54
113349645237570001,,17:28:39,,,,,,,,17:24:00,17:25:16,17:30:02,17:33:09,17:36:10,17:38:50,,,17:40:00,,17:31:00,17:42:00,,17:28:04,17:35:00,,
113349646237570001,21:18:00,,21:14:15,21:05:17,21:06:28,21:08:17,21:12:51,21:15:26,21:16:49,21:19:00,,,,,,21:10:14,21:07:08,,21:12:00,,,21:04:00,,,21:09:00,21:10:54
113349647237570001,15:43:00,,15:38:00,15:24:47,15:26:28,15:29:00,15:36:08,15:39:35,15:41:26,15:44:00,,,,,,15:32:04,15:27:24,,15:35:00,,,15:23:00,,,15:30:00,15:33:10
113349648237570001,16:34:00,,16:29:00,16:15:03,16:16:57,16:19:51,16:27:08,16:30:35,16:32:26,16:35:00,,,,,,16:23:04,16:18:02,,16:26:00,,,16:13:00,,,16:21:00,16:24:10
113349649237570001,18:10:00,,18:05:00,17:51:47,17:53:28,17:56:00,18:03:08,18:06:35,18:08:26,18:11:00,,,,,,17:59:04,17:54:24,,18:02:00,,,17:50:00,,,17:57:00,18:00:10
113349651237570001,17:24:00,,17:19:00,17:05:03,17:06:57,17:09:51,17:17:08,17:20:35,17:22:26,17:25:00,,,,,,17:13:04,17:08:02,,17:16:00,,,17:03:00,,,17:11:00,17:14:10
113349652237570001,,18:17:39,,,,,,,,18:13:00,18:14:16,18:19:02,18:22:09,18:24:56,18:27:04,,,18:28:00,,18:20:00,18:30:00,,18:17:04,18:24:00,,
113349653237570001,,20:04:39,,,,,,,,20:00:00,20:01:16,20:06:02,20:08:37,20:10:42,20:12:18,,,20:13:00,,20:07:00,20:15:00,,20:04:04,20:10:00,,
113349654237570001,19:52:00,,19:47:37,19:36:32,19:37:58,19:40:09,19:46:00,19:49:01,19:50:37,19:53:00,,,,,,19:42:39,19:38:46,,19:45:00,,,19:35:00,,,19:41:00,19:43:32
113349655237570001,,20:51:39,,,,,,,,20:47:00,20:48:16,20:53:02,20:55:37,20:57:42,20:59:18,,,21:00:00,,20:54:00,21:02:00,,20:51:04,20:57:00,,
113349656237570001,,21:27:59,,,,,,,,21:24:00,21:25:05,21:29:10,21:31:37,21:33:42,21:35:18,,,21:36:00,,21:30:00,21:38:00,,21:27:29,21:33:00,,
113349657237570001,18:43:00,,18:38:00,18:26:32,18:27:58,18:30:09,18:36:08,18:39:35,18:41:26,18:44:00,,,,,,18:32:39,18:28:46,,18:35:00,,,18:25:00,,,18:31:00,18:33:32
113349658237570001,,19:02:39,,,,,,,,18:58:00,18:59:16,19:04:02,19:07:09,19:09:56,19:12:04,,,19:13:00,,19:05:00,19:15:00,,19:02:04,19:09:00,,
113349659237570001,20:39:00,,20:35:15,20:25:17,20:26:28,20:28:17,20:33:51,20:36:26,20:37:49,20:40:00,,,,,,20:30:39,20:27:08,,20:33:00,,,20:24:00,,,20:29:00,20:31:32
113349660237570001,,15:38:39,,,,,,,,15:34:00,15:35:16,15:40:02,15:43:41,15:47:10,15:49:50,,,15:51:00,,15:41:00,15:53:00,,15:38:04,15:46:00,,
113349662237570001,14:29:00,,14:24:00,14:10:47,14:12:28,14:15:00,14:22:08,14:25:35,14:27:26,14:30:00,,,,,,14:18:04,14:13:24,,14:21:00,,,14:09:00,,,14:16:00,14:19:10
113349663237570001,,23:28:19,,,,,,,,23:25:00,23:25:55,23:29:18,23:31:37,23:33:42,23:35:18,,,23:36:00,,23:30:00,23:38:00,,23:27:54,23:33:00,,
113349664237570001,,18:05:39,,,,,,,,18:01:00,18:02:16,18:07:02,18:10:09,18:12:56,18:15:04,,,18:16:00,,18:08:00,18:18:00,,18:05:04,18:12:00,,
113349665237570001,,22:47:59,,,,,,,,22:44:00,22:45:05,22:49:10,22:51:37,22:53:42,22:55:18,,,22:56:00,,22:50:00,22:58:00,,22:47:29,22:53:00,,
113349666237570001,,14:39:39,,,,,,,,14:35:00,14:36:16,14:41:02,14:44:41,14:47:56,14:50:04,,,14:51:00,,14:42:00,14:53:00,,14:39:04,14:47:00,,
113349667237570001,22:38:00,,22:34:15,22:25:17,22:26:28,22:28:17,22:32:51,22:35:26,22:36:49,22:39:00,,,,,,22:30:14,22:27:08,,22:32:00,,,22:24:00,,,22:29:00,22:30:54
113349668237570001,,16:28:39,,,,,,,,16:24:00,16:25:16,16:30:02,16:33:41,16:37:10,16:39:50,,,16:41:00,,16:31:00,16:43:00,,16:28:04,16:36:00,,
