trip_id,1535,2100,2101,2102,2173,2174,2345,2346,2792,2795,2796,2839,3062,3072,3210B,3272,3273,3274,3284,3285,3286B,3288,3353,3354,3355,3402,3403,3408,3409,3410,3411,3417,3419,3448B,3449,3450,3459,3460,3470,3661,5735,6303B,6308,6359,6364B,6410,6411,6435,6438,6442,6445,9060
113069224236665601,,12:27:38,,12:29:00,,12:32:32,12:31:00,12:31:40,,,12:20:16,12:23:22,,12:11:00,,12:41:00,12:41:41,12:43:00,,12:44:00,12:45:20,12:46:00,12:11:45,12:13:00,12:14:00,,,,,,,,,12:35:14,12:33:48,12:36:05,12:38:00,12:39:32,12:34:28,,,,,12:18:01,12:25:27,12:19:00,,12:17:00,,,12:09:00,12:15:30
113069225236665601,,12:12:38,,12:14:00,,12:17:32,12:16:00,12:16:40,,,12:05:16,12:08:22,,11:56:00,,12:26:00,12:26:41,12:28:00,,12:29:00,12:30:20,12:31:00,11:56:45,11:58:00,11:59:00,,,,,,,,,12:20:14,12:18:48,12:21:05,12:23:00,12:24:32,12:19:28,,,,,12:03:01,12:10:27,12:04:00,,12:02:00,,,11:54:00,12:00:30
113069226236665601,,11:57:38,,11:59:00,,12:02:32,12:01:00,12:01:40,,,11:50:16,11:53:22,,11:41:00,,12:11:00,12:11:41,12:13:00,,12:14:00,12:15:20,12:16:00,11:41:45,11:43:00,11:44:00,,,,,,,,,12:05:14,12:03:48,12:06:05,12:08:00,12:09:32,12:04:28,,,,,11:48:01,11:55:27,11:49:00,,11:47:00,,,11:39:00,11:45:30
113069227236665601,,11:42:38,,11:44:00,,11:47:32,11:46:00,11:46:40,,,11:35:16,11:38:22,,11:26:00,,11:56:00,11:56:41,11:58:00,,11:59:00,12:00:20,12:01:00,11:26:45,11:28:00,11:29:00,,,,,,,,,11:50:14,11:48:48,11:51:05,11:53:00,11:54:32,11:49:28,,,,,11:33:01,11:40:27,11:34:00,,11:32:00,,,11:24:00,11:30:30
113069228236665601,,11:27:38,,11:29:00,,11:32:32,11:31:00,11:31:40,,,11:20:16,11:23:22,,11:11:00,,11:41:00,11:41:41,11:43:00,,11:44:00,11:45:20,11:46:00,11:11:45,11:13:00,11:14:00,,,,,,,,,11:35:14,11:33:48,11:36:05,11:38:00,11:39:32,11:34:28,,,,,11:18:01,11:25:27,11:19:00,,11:17:00,,,11:09:00,11:15:30
113069229236665601,,11:12:38,,11:14:00,,11:17:32,11:16:00,11:16:40,,,11:05:16,11:08:22,,10:56:00,,11:26:00,11:26:41,11:28:00,,11:29:00,11:30:20,11:31:00,10:56:45,10:58:00,10:59:00,,,,,,,,,11:20:14,11:18:48,11:21:05,11:23:00,11:24:32,11:19:28,,,,,11:03:01,11:10:27,11:04:00,,11:02:00,,,10:54:00,11:00:30
113069230236665601,,10:57:38,,10:59:00,,11:02:32,11:01:00,11:01:40,,,10:50:16,10:53:22,,10:41:00,,11:11:00,11:11:41,11:13:00,,11:14:00,11:15:20,11:16:00,10:41:45,10:43:00,10:44:00,,,,,,,,,11:05:14,11:03:48,11:06:05,11:08:00,11:09:32,11:04:28,,,,,10:48:01,10:55:27,10:49:00,,10:47:00,,,10:39:00,10:45:30
113069231236665601,,10:42:38,,10:44:00,,10:47:32,10:46:00,10:46:40,,,10:35:16,10:38:22,,10:26:00,,10:56:00,10:56:41,10:58:00,,10:59:00,11:00:20,11:01:00,10:26:45,10:28:00,10:29:00,,,,,,,,,10:50:14,10:48:48,10:51:05,10:53:00,10:54:32,10:49:28,,,,,10:33:01,10:40:27,10:34:00,,10:32:00,,,10:24:00,10:30:30
113069232236665601,,10:27:38,,10:29:00,,10:32:32,10:31:00,10:31:40,,,10:20:16,10:23:22,,10:11:00,,10:41:00,10:41:41,10:43:00,,10:44:00,10:45:20,10:46:00,10:11:45,10:13:00,10:14:00,,,,,,,,,10:35:14,10:33:48,10:36:05,10:38:00,10:39:32,10:34:28,,,,,10:18:01,10:25:27,10:19:00,,10:17:00,,,10:09:00,10:15:30
113069233236665601,,10:12:38,,10:14:00,,10:17:32,10:16:00,10:16:40,,,10:05:16,10:08:22,,09:56:00,,10:26:00,10:26:41,10:28:00,,10:29:00,10:30:20,10:31:00,09:56:45,09:58:00,09:59:00,,,,,,,,,10:20:14,10:18:48,10:21:05,10:23:00,10:24:32,10:19:28,,,,,10:03:01,10:10:27,10:04:00,,10:02:00,,,09:54:00,10:00:30
113069234236665601,,06:25:02,,06:26:00,,06:29:32,06:28:00,06:28:40,,,06:19:53,06:22:03,,06:12:00,,06:37:00,06:37:41,06:39:00,,06:40:00,06:41:20,06:42:00,06:12:45,06:14:00,06:15:00,,,,,,,,,06:32:14,06:30:48,06:33:05,06:35:00,06:36:01,06:31:28,,,,,06:18:01,06:23:31,06:19:00,,06:17:00,,,06:10:00,06:16:00
113069235236665601,,06:55:02,,06:56:00,,06:59:32,06:58:00,06:58:40,,,06:49:53,06:52:03,,06:42:00,,07:07:00,07:07:41,07:09:00,,07:10:00,07:11:20,07:12:00,06:42:45,06:44:00,06:45:00,,,,,,,,,07:02:14,07:00:48,07:03:05,07:05:00,07:06:01,07:01:28,,,,,06:48:01,06:53:31,06:49:00,,06:47:00,,,06:40:00,06:46:00
