trip_id,1662,1664,1665,1666,2528,2541,3800,3802,3804B,3805,3808,3810,3812,3814,3815,3850,3851,3852,3853,3856,3858,3859,3860
113075615236680001,,20:44:00,,20:49:00,,,20:45:25,20:46:19,20:46:55,20:48:00,20:50:00,20:52:24,20:50:43,20:53:17,,20:54:00,,,20:51:39,,,,
113075616236680001,,19:50:00,,19:56:00,,,19:51:47,19:52:53,19:53:39,19:55:00,19:58:00,20:00:24,19:58:43,20:01:17,,20:02:00,,,19:59:39,,,,
113075849236680001,,,,,,,,,,,06:46:00,06:49:36,06:47:04,06:50:55,,06:52:00,,,06:48:28,,,,
113075850236680001,,,,,,,,,,,13:54:00,13:57:36,13:55:04,13:58:55,,14:00:00,,,13:56:28,,,,
113075851236680001,,,18:07:00,,,,,,,,,,,,17:58:47,17:58:00,18:00:02,,,18:05:00,,18:02:56,18:01:20
113075852236680001,,,18:38:00,,,,,,,,,,,,18:31:34,18:31:00,18:32:27,,,18:36:00,,18:34:31,18:33:23
113075853236680001,,,22:26:00,,,,,,,,,,,,22:21:27,22:21:00,22:22:10,,,22:25:00,,22:23:49,22:22:54
113075854236680001,05:55:00,,05:49:00,,05:51:53,05:52:58,,,,,,,,,,,,05:51:04,,,05:50:00,,
113075855236680001,07:01:00,,06:55:00,,06:57:53,06:58:58,,,,,,,,,,,,06:57:04,,,06:56:00,,
113552795238506503,05:35:00,,05:29:00,,05:31:53,05:32:58,,,,,,,,,,,,05:31:04,,,05:30:00,,
113552796238506503,,05:43:00,,05:48:00,,,05:44:25,05:45:19,05:45:55,05:47:00,05:49:00,05:52:00,05:49:54,05:53:06,,05:54:00,,,05:51:03,,,,
113552797238506503,06:10:00,,06:04:00,,06:06:53,06:07:58,,,,,,,,,05:59:27,05:59:00,06:00:10,06:06:04,,06:03:00,06:05:00,06:01:49,06:00:54
113552798238506503,,18:38:00,,18:44:00,,,18:39:47,18:40:53,18:41:39,18:43:00,18:46:00,18:49:00,18:46:54,18:50:06,,18:51:00,,,18:48:03,,,,
113552799238506503,,19:08:00,,19:14:00,,,19:09:47,19:10:53,19:11:39,19:13:00,19:16:00,19:19:00,19:16:54,19:20:06,,19:21:00,,,19:18:03,,,,
113552800238506503,,19:23:00,,19:29:00,,,19:24:47,19:25:53,19:26:39,19:28:00,19:31:00,19:34:00,19:31:54,19:35:06,,19:36:00,,,19:33:03,,,,
113552801238506503,,19:38:00,,19:44:00,,,19:39:47,19:40:53,19:41:39,19:43:00,19:46:00,19:49:00,19:46:54,19:50:06,,19:51:00,,,19:48:03,,,,
113552802238506503,20:14:00,,20:07:00,,20:10:16,20:11:34,,,,,,,,,20:02:27,20:02:00,20:03:10,20:09:16,,20:06:00,20:08:00,20:04:49,20:03:54
113552803238506503,,20:09:00,,20:14:00,,,20:10:25,20:11:19,20:11:55,20:13:00,20:16:00,20:18:24,20:16:43,20:19:17,,20:20:00,,,20:17:39,,,,
113552804238506503,,20:24:00,,20:29:00,,,20:25:25,20:26:19,20:26:55,20:28:00,20:31:00,20:33:24,20:31:43,20:34:17,,20:35:00,,,20:32:39,,,,
