trip_id,1145,1242,1348,1350,1351,1356,1894,2305,2370,2558,3225,3230,3231,3232,3233,3234,3238,3252,3253,3257,3259B,3260,3261,3263B,3281,3282,4074B,4127,4213,4214,4217,4252,4253,4258,4266,4267,4271,4594,4595,6648,6702,6706,6754,6755
113357856237593601,,13:16:09,,,13:25:46,13:27:00,,13:28:19,,13:37:00,,,,,,13:06:00,13:07:41,13:08:16,13:12:00,13:12:56,,,,,13:09:03,13:10:00,,13:35:00,,,,13:30:15,13:22:00,13:32:35,13:34:14,,,,13:14:00,,,,13:17:44,13:19:15
113357857237593601,,13:26:09,,,13:35:46,13:37:00,,13:38:19,,13:47:00,,,,,,13:16:00,13:17:41,13:18:16,13:22:00,13:22:56,,,,,13:19:03,13:20:00,,13:45:00,,,,13:40:15,13:32:00,13:42:35,13:44:14,,,,13:24:00,,,,13:27:44,13:29:15
113357858237593601,,13:36:09,,,13:45:46,13:47:00,,13:48:19,,13:57:00,,,,,,13:26:00,13:27:41,13:28:16,13:32:00,13:32:56,,,,,13:29:03,13:30:00,,13:55:00,,,,13:50:15,13:42:00,13:52:35,13:54:14,,,,13:34:00,,,,13:37:44,13:39:15
113357859237593601,,13:46:09,,,13:55:46,13:57:00,,13:58:19,,14:07:00,,,,,,13:36:00,13:37:41,13:38:16,13:42:00,13:42:56,,,,,13:39:03,13:40:00,,14:05:00,,,,14:00:15,13:52:00,14:02:35,14:04:14,,,,13:44:00,,,,13:47:44,13:49:15
113357860237593601,,13:56:09,,,14:05:46,14:07:00,,14:08:19,,14:17:00,,,,,,13:46:00,13:47:41,13:48:16,13:52:00,13:52:56,,,,,13:49:03,13:50:00,,14:15:00,,,,14:10:15,14:02:00,14:12:35,14:14:14,,,,13:54:00,,,,13:57:44,13:59:15
113357861237593601,,14:06:25,,,14:16:46,14:18:00,,14:19:19,,14:28:00,,,,,,13:56:00,13:57:41,13:58:16,14:02:00,14:02:56,,,,,13:59:03,14:00:00,,14:26:00,,,,14:21:15,14:13:00,14:23:35,14:25:14,,,,14:04:00,,,,14:08:11,14:09:55
113357862237593601,,14:16:25,,,14:26:46,14:28:00,,14:29:19,,14:38:00,,,,,,14:06:00,14:07:41,14:08:16,14:12:00,14:12:56,,,,,14:09:03,14:10:00,,14:36:00,,,,14:31:15,14:23:00,14:33:35,14:35:14,,,,14:14:00,,,,14:18:11,14:19:55
113357863237593601,,14:26:25,,,14:36:46,14:38:00,,14:39:19,,14:48:00,,,,,,14:16:00,14:17:41,14:18:16,14:22:00,14:22:56,,,,,14:19:03,14:20:00,,14:46:00,,,,14:41:15,14:33:00,14:43:35,14:45:14,,,,14:24:00,,,,14:28:11,14:29:55
113357864237593601,,14:36:25,,,14:46:46,14:48:00,,14:49:19,,14:58:00,,,,,,14:26:00,14:27:41,14:28:16,14:32:00,14:32:56,,,,,14:29:03,14:30:00,,14:56:00,,,,14:51:15,14:43:00,14:53:35,14:55:14,,,,14:34:00,,,,14:38:11,14:39:55
113357865237593601,,14:46:25,,,14:56:46,14:58:00,,14:59:19,,15:08:00,,,,,,14:36:00,14:37:41,14:38:16,14:42:00,14:42:56,,,,,14:39:03,14:40:00,,15:06:00,,,,15:01:15,14:53:00,15:03:35,15:05:14,,,,14:44:00,,,,14:48:11,14:49:55
113357866237593601,,14:56:25,,,15:06:46,15:08:00,,15:09:19,,15:18:00,,,,,,14:46:00,14:47:41,14:48:16,14:52:00,14:52:56,,,,,14:49:03,14:50:00,,15:16:00,,,,15:11:15,15:03:00,15:13:35,15:15:14,,,,14:54:00,,,,14:58:11,14:59:55
113357867237593601,,15:06:25,,,15:16:46,15:18:00,,15:19:19,,15:28:00,,,,,,14:56:00,14:57:41,14:58:16,15:02:00,15:02:56,,,,,14:59:03,15:00:00,,15:26:00,,,,15:21:15,15:13:00,15:23:35,15:25:14,,,,15:04:00,,,,15:08:11,15:09:55
113357868237593601,,15:16:25,,,15:26:46,15:28:00,,15:29:19,,15:38:00,,,,,,15:06:00,15:07:41,15:08:16,15:12:00,15:12:56,,,,,15:09:03,15:10:00,,15:36:00,,,,15:31:15,15:23:00,15:33:35,15:35:14,,,,15:14:00,,,,15:18:11,15:19:55
113357869237593601,,15:26:25,,,15:36:46,15:38:00,,15:39:19,,15:48:00,,,,,,15:16:00,15:17:41,15:18:16,15:22:00,15:22:56,,,,,15:19:03,15:20:00,,15:46:00,,,,15:41:15,15:33:00,15:43:35,15:45:14,,,,15:24:00,,,,15:28:11,15:29:55
113357870237593601,,15:36:41,,,15:47:46,15:49:00,,15:50:19,,15:59:00,,,,,,15:26:00,15:27:41,15:28:16,15:32:00,15:32:56,,,,,15:29:03,15:30:00,,15:57:00,,,,15:52:15,15:44:00,15:54:35,15:56:14,,,,15:34:00,,,,15:38:39,15:40:34
113357871237593601,,15:46:41,,,15:57:46,15:59:00,,16:00:19,,16:09:00,,,,,,15:36:00,15:37:41,15:38:16,15:42:00,15:42:56,,,,,15:39:03,15:40:00,,16:07:00,,,,16:02:15,15:54:00,16:04:35,16:06:14,,,,15:44:00,,,,15:48:39,15:50:34
113357872237593601,,15:56:41,,,16:07:46,16:09:00,,16:10:19,,16:19:00,,,,,,15:46:00,15:47:41,15:48:16,15:52:00,15:52:56,,,,,15:49:03,15:50:00,,16:17:00,,,,16:12:15,16:04:00,16:14:35,16:16:14,,,,15:54:00,,,,15:58:39,16:00:34
