gid,code_ligne,variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,geom
2220,087b,2,16,4059,BERCHEM-SHOPPING,BERCHEM-SHOPPING,Berchem-Shopping,Berchem-Shopping,144551.000000,173341.000000,B,87,SIMONIS,01010000000000000038A5014100000000E8280541
2221,087b,2,17,2864,GARE DE BERCHEM,STATION BERCHEM,Gare de Berchem,Station Berchem,144511.400000,173566.700000,B,87,SIMONIS,010100000033333333FBA301419A999999F52F0541
2222,087b,2,18,4062,BOIS DES ILES,EILANDENHOUT,Bois des Îles,Eilandenhout,144812.000000,173685.000000,B,87,SIMONIS,01010000000000000060AD014100000000A8330541
2223,087b,2,19,4101,BASILIX,BASILIX,Basilix,Basilix,145044.000000,173595.000000,B,87,SIMONIS,010100000000000000A0B4014100000000D8300541
2224,087b,2,20,4109,CHOPIN,CHOPIN,Chopin,Chopin,145171.000000,173920.000000,B,87,SIMONIS,01010000000000000098B8014100000000003B0541
2225,087b,2,21,4115,GANSHOREN-SPORT,GANSHOREN-SPORT,Ganshoren-Sport,Ganshoren-Sport,145236.000000,174093.000000,B,87,SIMONIS,010100000000000000A0BA01410000000068400541
2226,087b,2,22,4103,HET VEROOST,HET VEROOST,Het Veroost,Het Veroost,145463.000000,174204.000000,B,87,SIMONIS,010100000000000000B8C1014100000000E0430541
2227,087b,2,23,4104,NEUBERGER,NEUBERGER,Neuberger,Neuberger,145630.000000,173999.000000,B,87,SIMONIS,010100000000000000F0C6014100000000783D0541
2228,087b,2,24,4112,LOWET,LOWET,Lowet,Lowet,145887.000000,173739.000000,B,87,SIMONIS,010100000000000000F8CE01410000000058350541
2229,087b,2,25,4105,NEREUS,NEREUS,Nereus,Nereus,146084.000000,173563.200000,B,87,SIMONIS,01010000000000000020D501419A999999D92F0541
2230,087b,2,26,4106,SORENSEN,SORENSEN,Sorensen,Sorensen,145975.000000,173368.000000,B,87,SIMONIS,010100000000000000B8D1014100000000C0290541
2231,087b,2,27,4107,BEECKMANS,BEECKMANS,Beeckmans,Beeckmans,145892.300000,173204.500000,B,87,SIMONIS,01010000006666666622CF014100000000A4240541
2232,087b,2,28,4110,COLLEGE S.-COEUR,H. HARTCOLLEGE,Collège Sacré-Cœur,Heilig Hartcollege,146292.000000,173101.000000,B,87,SIMONIS,010100000000000000A0DB01410000000068210541
2233,087b,2,29,2519,RIETHUISEN,RIETHUISEN,Riethuisen,Riethuisen,146573.000000,172989.000000,B,87,SIMONIS,01010000000000000068E4014100000000E81D0541
2234,087b,2,30,4116,PARC ELISABETH,ELISABETHPARK,Parc Élisabeth,Elisabethpark,147155.000000,172744.000000,B,87,SIMONIS,01010000000000000098F601410000000040160541
2235,087b,2,31,1112,SIMONIS,SIMONIS,Simonis,Simonis,147325.000000,172509.000000,B,87,SIMONIS,010100000000000000E8FB014100000000E80E0541
2236,088b,1,1,2828,DE BROUCKERE,DE BROUCKERE,De Brouckère,De Brouckère,149059.000000,171433.000000,B,88,UZ-VUB,010100000000000000183202410000000048ED0441
2237,088b,1,2,2830,ROGIER,ROGIER,Rogier,Rogier,149217.000000,171637.000000,B,88,UZ-VUB,0101000000000000000837024100000000A8F30441
2238,088b,1,3,1030,GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149295.000000,172271.000000,B,88,UZ-VUB,010100000000000000783902410000000078070541
2239,088b,1,4,1052,WTC,WTC,WTC,WTC,149071.000000,172349.000000,B,88,UZ-VUB,0101000000000000007832024100000000E8090541
2240,088b,1,5,1051,WILLEBROEK,WILLEBROEK,Willebroek,Willebroek,148964.000000,172548.000000,B,88,UZ-VUB,010100000000000000202F02410000000020100541
2241,088b,1,6,1356,TOUR ET TAXIS,THURN EN TAXIS,Tour et Taxis,Thurn en Taxis,148750.200000,172800.700000,B,88,UZ-VUB,01010000009A999999712802419A99999905180541
2242,088b,1,7,2305,ENTREPOT,STAPELHUIS,Entrepôt,Stapelhuis,148905.000000,173104.000000,B,88,UZ-VUB,010100000000000000482D02410000000080210541
2243,088b,1,8,4252,DIEUDONNE LEFEVRE,DIEUDONNE LEFEVRE,Dieudonné Lefèvre,Dieudonné Lefèvre,148633.000000,173393.000000,B,88,UZ-VUB,010100000000000000C824024100000000882A0541
2244,088b,1,9,4258,POUCHKINE,POESJKIN,Pouchkine,Poesjkin,148263.000000,173411.000000,B,88,UZ-VUB,0101000000000000003819024100000000182B0541
2245,088b,1,10,4266,NEKKERSDAL,NEKKERSDAL,Nekkersdal,Nekkersdal,148463.000000,173758.000000,B,88,UZ-VUB,010100000000000000781F024100000000F0350541
2246,088b,1,11,4127,BOCKSTAEL,BOCKSTAEL,Bockstael,Bockstael,148564.000000,173928.000000,B,88,UZ-VUB,010100000000000000A022024100000000403B0541
2247,088b,1,12,2554,BOCKSTAEL,BOCKSTAEL,Bockstael,Bockstael,148472.000000,174143.000000,B,88,UZ-VUB,010100000000000000C01F024100000000F8410541
2248,088b,1,13,2170,EMILE DELVA,EMILE DELVA,Emile Delva,Emile Delva,148123.000000,174066.000000,B,88,UZ-VUB,010100000000000000D814024100000000903F0541
2249,088b,1,14,2863,JACOBS FONTAINE,JACOBS FONTAINE,Jacobs Fontaine,Jacobs Fontaine,148167.000000,174271.000000,B,88,UZ-VUB,0101000000000000003816024100000000F8450541
2250,088b,1,15,6173,PRINCE LEOPOLD,PRINS LEOPOLD,Prince Léopold,Prins Leopold,148100.000000,174754.000000,B,88,UZ-VUB,010100000000000000201402410000000010550541
2251,088b,1,16,5295,DUYSBURGH,DUYSBURGH,Duysburgh,Duysburgh,147895.000000,174776.000000,B,88,UZ-VUB,010100000000000000B80D024100000000C0550541
2252,088b,1,17,2859,GUILL. DE GREEF,GUILL. DE GREEF,Guillaume De Greef,Guillaume De Greef,147653.000000,174663.000000,B,88,UZ-VUB,010100000000000000280602410000000038520541
2253,088b,1,18,2877,CIM. DE JETTE,KERKH. VAN JETTE,Cimetière de Jette,Kerkhof van Jette,147586.000000,174382.000000,B,88,UZ-VUB,010100000000000000100402410000000070490541
2254,088b,1,19,6869,GARE DE JETTE,STATION JETTE,Gare de Jette,Station Jette,147305.900000,174418.900000,B,88,UZ-VUB,0101000000333333334FFB014133333333974A0541
2255,088b,1,20,2871,LORGE,LORGE,Lorge,Lorge,147354.000000,174670.000000,B,88,UZ-VUB,010100000000000000D0FC01410000000070520541
2256,088b,1,21,2873,CROCQ,CROCQ,Crocq,Crocq,147288.100000,174930.400000,B,88,UZ-VUB,0101000000CDCCCCCCC0FA014133333333935A0541
2257,088b,1,22,1467,HOP. DES ENFANTS,KINDERZIEKENHUIS,Hôpital des Enfants,Kinderziekenhuis,147102.800000,175358.000000,B,88,UZ-VUB,010100000066666666F6F4014100000000F0670541
2258,088b,1,23,2164,BOULE ET BILL,BOLLIE EN BILLIE,Boule et Bill,Bollie en Billie,146731.700000,175452.000000,B,88,UZ-VUB,01010000009A9999995DE9014100000000E06A0541
2259,088b,1,24,2850,AUDREY HEPBURN,AUDREY HEPBURN,Audrey Hepburn,Audrey Hepburn,146272.000000,175504.000000,B,88,UZ-VUB,01010000000000000000DB014100000000806C0541
2260,088b,1,25,1328,ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146058.500000,175835.000000,B,88,UZ-VUB,01010000000000000054D4014100000000D8760541
2261,088b,1,26,1721,UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145809.700000,175505.800000,B,88,UZ-VUB,01010000009A9999998DCC0141666666668E6C0541
2262,088b,1,27,1722,UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145942.000000,175117.000000,B,88,UZ-VUB,010100000000000000B0D001410000000068600541
2263,088b,1,28,1727,UZ-VUB,UZ-VUB,UZ-VUB,UZ-VUB,145769.000000,175067.000000,B,88,UZ-VUB,01010000000000000048CB014100000000D85E0541
2264,088b,2,1,1732,UZ-VUB,UZ-VUB,UZ-VUB,UZ-VUB,145792.000000,175041.000000,B,88,DE BROUCKERE,01010000000000000000CC014100000000085E0541
2265,088b,2,2,1743,UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145968.000000,175154.000000,B,88,DE BROUCKERE,01010000000000000080D101410000000090610541
2266,088b,2,3,1744,UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145824.100000,175484.200000,B,88,DE BROUCKERE,0101000000CDCCCCCC00CD01419A999999E16B0541
2267,088b,2,4,1334,ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146148.500000,175809.400000,B,88,DE BROUCKERE,01010000000000000024D70141333333330B760541
2268,088b,2,5,2849,AUDREY HEPBURN,AUDREY HEPBURN,Audrey Hepburn,Audrey Hepburn,146342.300000,175481.800000,B,88,DE BROUCKERE,01010000006666666632DD014166666666CE6B0541
2269,088b,2,6,2163,BOULE ET BILL,BOLLIE EN BILLIE,Boule et Bill,Bollie en Billie,146755.700000,175455.900000,B,88,DE BROUCKERE,01010000009A9999991DEA014133333333FF6A0541
2270,088b,2,7,1466,HOP. DES ENFANTS,KINDERZIEKENHUIS,Hôpital des Enfants,Kinderziekenhuis,147123.700000,175285.700000,B,88,DE BROUCKERE,01010000009A9999999DF501419A999999AD650541
2271,088b,2,8,4251,CROCQ,CROCQ,Crocq,Crocq,147247.000000,174996.000000,B,88,DE BROUCKERE,01010000000000000078F9014100000000A05C0541
2272,088b,2,9,2803,LORGE,LORGE,Lorge,Lorge,147335.000000,174722.000000,B,88,DE BROUCKERE,01010000000000000038FC01410000000010540541
2273,088b,2,10,6800,GARE DE JETTE,STATION JETTE,Gare de Jette,Station Jette,147279.000000,174430.000000,B,88,DE BROUCKERE,01010000000000000078FA014100000000F04A0541
2274,088b,2,11,2805,CIM. DE JETTE,KERKH. VAN JETTE,Cimetière de Jette,Kerkhof van Jette,147537.000000,174328.000000,B,88,DE BROUCKERE,0101000000000000008802024100000000C0470541
2275,088b,2,12,1788,GUILL. DE GREEF,GUILL. DE GREEF,Guillaume De Greef,Guillaume De Greef,147673.000000,174671.000000,B,88,DE BROUCKERE,010100000000000000C80602410000000078520541
2276,088b,2,13,2807,PRINCE LEOPOLD,PRINS LEOPOLD,Prince Léopold,Prins Leopold,148074.000000,174691.000000,B,88,DE BROUCKERE,010100000000000000501302410000000018530541
2277,088b,2,14,2808,JACOBS FONTAINE,JACOBS FONTAINE,Jacobs Fontaine,Jacobs Fontaine,148152.000000,174256.000000,B,88,DE BROUCKERE,010100000000000000C01502410000000080450541
2278,088b,2,15,2171,EMILE DELVA,EMILE DELVA,Emile Delva,Emile Delva,148129.500000,174059.900000,B,88,DE BROUCKERE,0101000000000000000C150241333333335F3F0541
2279,088b,2,16,2547,BOCKSTAEL,BOCKSTAEL,Bockstael,Bockstael,148524.000000,174141.000000,B,88,DE BROUCKERE,0101000000000000006021024100000000E8410541
2280,088b,2,17,4125,BOCKSTAEL,BOCKSTAEL,Bockstael,Bockstael,148553.000000,173943.000000,B,88,DE BROUCKERE,0101000000000000004822024100000000B83B0541
